0, 15. 291. 297. 269. 207. 18. 582. 20. 527. 118. 799. 94. 520. 104.378081 1.;
1, 25. 128. 120. 269. 207. 18. 582. 20. 527. 118. 799. 94. 520. 104.378081 1.;
2, 80. 128. 120. 215. 202. 18. 582. 20. 527. 118. 799. 94. 520. 104.378081 1.;
3, 85. 19. 33. 215. 202. 18. 582. 20. 527. 118. 799. 94. 520. 104.378081 1.;
4, 135. 19. 33. 450. 315. 18. 582. 20. 527. 118. 799. 94. 520. 104.378081 1.;
5, 145. 33. 36. 450. 315. 18. 582. 20. 527. 118. 799. 94. 520. 104.378081 1.;
6, 195. 33. 36. 680. 509. 18. 582. 20. 527. 118. 799. 94. 520. 104.378081 1.000125;
7, 205. 67. 27. 680. 509. 18. 582. 20. 527. 118. 799. 94. 520. 104.378081 1.000125;
8, 255. 67. 27. 776. 460. 18. 582. 20. 527. 118. 799. 94. 520. 104.378081 1.000125;
9, 265. 65. 116. 776. 460. 18. 582. 20. 527. 118. 799. 94. 520. 104.378081 1.000125;
10, 315. 65. 116. 785. 414. 18. 582. 20. 527. 118. 799. 94. 520. 104.378081 1.000125;
11, 325. 25. 16. 785. 414. 18. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
12, 375. 25. 16. 793. 397. 18. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
13, 385. 20. 25. 793. 397. 18. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
14, 435. 20. 25. 386. 281. 18. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
15, 445. 25. 33. 386. 281. 18. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
16, 495. 25. 33. 347. 261. 18. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
17, 535. 25. 17. 347. 261. 19. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
18, 555. 25. 17. 267. 225. 19. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
19, 595. 34. 25. 267. 225. 19. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
20, 615. 34. 25. 193. 170. 19. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
21, 655. 40. 40. 193. 170. 19. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
22, 675. 40. 40. 186. 140. 19. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
23, 715. 44. 35. 186. 140. 19. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
24, 765. 44. 35. 454. 385. 19. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
25, 775. 345. 348. 454. 385. 19. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
26, 830. 345. 348. 472. 410. 19. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000125;
27, 835. 436. 498. 472. 410. 19. 582. 16. 527. 118. 799. 94. 520. 104.378081 1.000528;
28, 890. 436. 498. 443. 340. 19. 582. 16. 527. 186. 799. 94. 520. 104.378081 1.000528;
29, 895. 443. 421. 443. 340. 19. 582. 16. 527. 186. 799. 140. 520. 104.378081 1.000528;
30, 950. 443. 421. 360. 319. 19. 582. 16. 527. 186. 799. 140. 520. 104.378081 1.000528;
31, 985. 449. 371. 360. 319. 19. 582. 16. 527. 186. 799. 140. 520. 104.378081 1.000528;
32, 1005. 449. 371. 374. 321. 19. 582. 16. 527. 186. 799. 140. 520. 104.378081 1.000528;
33, 1045. 326. 401. 374. 321. 19. 582. 16. 527. 186. 799. 140. 520. 104.378081 1.000528;
34, 1065. 326. 401. 311. 247. 19. 582. 16. 527. 186. 799. 140. 520. 104.378081 1.000528;
35, 1105. 345. 285. 311. 247. 19. 582. 16. 527. 186. 799. 140. 520. 104.378081 1.000528;
36, 1130. 345. 285. 337. 282. 19. 582. 16. 527. 186. 799. 140. 520. 104.378081 1.000528;
37, 1165. 143. 166. 337. 282. 19. 582. 16. 527. 186. 799. 140. 520. 104.378081 1.000528;
38, 1190. 143. 166. 364. 273. 19. 582. 16. 527. 186. 799. 140. 520. 104.378081 1.000528;
39, 1225. 24. 46. 364. 273. 19. 582. 16. 527. 186. 799. 140. 517. 104.378081 1.000528;
40, 1245. 24. 46. 325. 16. 19. 582. 16. 527. 186. 799. 16. 517. 104.378081 1.000528;
