side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,,273239.0,0.094,0.265,-0.023,-11.2,-11.2,-23.6,177,895,0,,,,
R,,273249.0,0.117,0.268,-0.029,-12.5,-13.9,-25.2,189,900,0,,,,
R,,273259.0,0.142,0.258,-0.052,-12.7,-15.8,-26.1,188,900,0,,,,
R,,273269.0,0.154,0.232,-0.056,-12.4,-17.2,-26.7,185,898,0,,,,
R,,273279.0,0.115,0.187,-0.04,-12.7,-16.7,-25.5,183,895,0,,,,
R,,273289.0,0.057,0.173,-0.007,-12.8,-8.3,-27.1,162,891,0,,,,
R,,273299.0,0.011,0.178,-0.01,-12.7,2.2,-27.6,160,886,0,,,,
R,,273309.0,0.004,0.152,-0.036,-12.5,10.7,-26.6,150,871,0,,,,
R,,273319.0,0.01,0.147,-0.062,-10.7,11.4,-24.6,157,854,0,,,,
R,,273329.0,-0.007,0.148,-0.049,-10.7,11.0,-22.7,140,826,0,,,,
R,,273339.0,-0.015,0.124,-0.058,-9.2,16.7,-21.2,145,785,0,,,,
R,,273349.0,-0.051,0.126,-0.069,-4.9,14.9,-22.2,98,708,0,,,,
R,,273359.0,0.014,0.037,-0.002,-5.6,14.0,-19.7,172,654,0,,,,
R,,273369.0,0.036,-0.001,0.001,-9.4,12.6,-10.7,235,683,0,,,,
R,,273379.0,-0.063,0.033,-0.006,-4.9,10.6,-6.1,234,699,0,,,,
R,,273389.0,-0.032,0.073,-0.03,-5.6,10.9,-3.0,227,694,0,,,,
R,,273399.0,0.004,0.056,-0.015,-8.1,6.6,2.9,209,680,0,,,,
R,,273409.0,0.009,0.022,-0.051,-8.4,4.9,6.6,208,670,0,,,,
R,,273419.0,0.036,0.004,-0.066,-6.4,4.2,10.2,226,670,0,,,,
R,,273429.0,0.056,0.017,-0.047,-5.2,5.3,11.7,213,665,0,,,,
R,,273439.0,0.06,0.034,-0.026,-5.5,6.9,13.4,221,661,0,,,,
R,,273449.0,0.042,0.027,-0.028,-6.4,10.2,16.4,227,656,0,,,,
R,,273459.0,0.009,0.039,-0.025,-6.3,12.1,18.8,232,633,0,,,,
R,,273469.0,0.003,0.047,-0.031,-7.2,12.6,21.2,231,636,0,,,,
R,,273479.0,0.003,0.055,-0.036,-7.7,13.4,23.2,249,630,0,,,,
R,,273489.0,0.01,0.062,-0.04,-8.4,14.6,25.0,248,627,0,,,,
R,,273499.0,0.021,0.059,-0.042,-8.9,16.3,26.4,256,634,0,,,,
R,,273509.0,0.016,0.071,-0.051,-8.1,17.9,28.2,249,599,0,,,,
R,,273519.0,0.014,0.078,-0.058,-7.8,19.3,29.6,270,617,0,,,,
R,,273529.0,0.004,0.083,-0.068,-7.2,19.8,31.1,264,616,0,,,,
R,,273539.0,-0.001,0.093,-0.076,-6.4,19.7,32.3,277,617,0,,,,
R,,273549.0,0.003,0.1,-0.087,-5.4,19.3,33.7,285,605,0,,,,
R,,273559.0,-0.015,0.11,-0.095,-4.2,18.4,35.0,294,595,0,,,,
R,,273569.0,-0.005,0.117,-0.108,-3.0,16.6,36.9,298,601,0,,,,
R,,273579.0,-0.012,0.123,-0.118,-1.6,13.7,38.7,285,604,0,,,,
R,,273589.0,-0.015,0.136,-0.118,-0.4,10.6,40.3,283,614,0,,,,
R,,273599.0,-0.01,0.15,-0.11,1.4,7.1,41.2,272,607,0,,,,
R,,273609.0,-0.01,0.167,-0.103,3.4,5.4,41.8,265,607,0,,,,
R,,273619.0,-0.012,0.176,-0.106,5.4,5.3,42.0,260,618,0,,,,
R,,273629.0,-0.029,0.191,-0.107,8.3,4.8,41.7,249,606,0,,,,
R,,273639.0,-0.028,0.208,-0.101,9.0,5.0,41.6,244,601,0,,,,
R,,273649.0,-0.029,0.224,-0.102,10.4,6.3,38.3,253,603,0,,,,
R,,273659.0,-0.039,0.239,-0.1,11.9,8.0,38.6,260,605,0,,,,
R,,273669.0,-0.068,0.262,-0.056,11.0,6.7,37.3,245,603,0,,,,
R,,273679.0,-0.069,0.259,-0.042,9.8,6.5,35.1,238,620,0,,,,
R,,273689.0,-0.065,0.249,-0.034,9.8,6.4,33.2,232,627,0,,,,
R,,273699.0,-0.073,0.248,-0.018,10.7,6.6,31.0,221,623,0,,,,
R,,273709.0,-0.099,0.256,-0.009,10.9,8.5,27.9,222,625,0,,,,
R,,273719.0,-0.121,0.244,-0.033,10.1,10.0,23.5,218,630,0,,,,
R,,273729.0,-0.12,0.192,-0.062,10.3,10.3,17.8,213,635,0,,,,
R,,273739.0,-0.176,0.211,-0.046,10.6,12.1,11.7,199,643,0,,,,
R,,273749.0,-0.178,0.2,-0.041,8.2,13.5,6.4,212,656,0,,,,
R,,273759.0,-0.169,0.179,-0.016,8.0,16.0,1.0,224,651,0,,,,
R,,273769.0,-0.183,0.206,0.0,8.6,15.0,-5.8,223,656,0,,,,
R,,273779.0,-0.123,0.258,-0.009,6.6,12.7,-11.3,444,595,0,,,,
R,,273789.0,-0.185,0.239,0.02,1.3,9.4,-16.0,557,679,0,,,,
R,,273799.0,0.148,0.106,0.026,-3.3,14.0,-19.8,606,723,0,,,,
R,,273809.0,0.277,0.097,0.037,0.9,5.2,-12.0,631,745,0,,,,
R,,273819.0,0.067,0.121,-0.018,0.9,3.2,-10.4,641,756,0,,,,
R,,273829.0,0.004,0.204,0.017,4.1,3.7,-18.7,659,772,0,,,,
R,,273839.0,0.035,0.221,0.053,2.1,4.2,-17.9,667,779,0,,,,
R,,273849.0,-0.004,0.193,0.003,4.4,2.7,-18.3,673,787,0,,,,
R,,273859.0,-0.014,0.144,0.009,3.5,1.1,-18.2,679,792,0,,,,
R,,273869.0,0.024,0.127,0.018,5.1,1.3,-17.7,681,794,0,,,,
R,,273879.0,0.057,0.102,-0.002,7.1,1.9,-16.5,684,795,0,,,,
R,,273889.0,0.035,0.075,-0.038,8.5,1.9,-14.4,685,801,0,,,,
R,,273899.0,-0.052,0.109,-0.08,9.1,1.7,-13.8,689,808,0,,,,
R,,273909.0,-0.077,0.17,-0.099,7.4,2.0,-13.8,698,815,0,,,,
R,,273919.0,0.018,0.173,-0.006,2.6,-3.0,-12.1,700,821,0,,,,
R,,273929.0,0.016,0.099,-0.059,2.8,-3.9,-10.3,708,827,0,,,,
R,,273939.0,0.005,0.126,-0.034,1.4,-3.6,-10.2,709,830,0,,,,
R,,273949.0,0.025,0.115,-0.026,0.0,-3.4,-9.3,712,833,0,,,,
R,,273959.0,0.019,0.118,-0.03,1.0,-4.4,-8.8,713,834,0,,,,
R,,273969.0,0.034,0.129,-0.019,0.9,-3.6,-8.7,719,838,0,,,,
R,,273979.0,0.038,0.122,-0.02,1.6,-1.8,-8.5,712,832,0,,,,
R,,273989.0,0.029,0.124,-0.02,2.1,-0.4,-8.1,718,838,0,,,,
R,,273999.0,0.029,0.118,-0.02,2.0,1.1,-7.6,715,834,0,,,,
R,,274009.0,0.022,0.115,-0.025,2.1,1.6,-6.8,716,835,0,,,,
R,,274019.0,0.012,0.125,-0.027,1.5,1.9,-6.0,717,838,0,,,,
R,,274029.0,0.007,0.124,-0.025,1.3,0.8,-5.5,720,837,0,,,,
R,,274039.0,0.0,0.126,-0.019,1.0,-0.1,-4.8,721,841,0,,,,
R,,274049.0,0.009,0.125,-0.023,1.0,-1.9,-4.1,733,855,0,,,,
R,,274059.0,0.015,0.123,-0.019,0.8,-2.8,-3.7,735,856,0,,,,
R,,274069.0,0.016,0.122,-0.019,0.9,-3.2,-3.4,724,843,0,,,,
R,,274079.0,0.016,0.123,-0.018,1.1,-2.9,-3.3,730,850,0,,,,
R,,274089.0,0.015,0.122,-0.02,1.0,-3.0,-3.1,731,854,0,,,,
R,,274099.0,0.016,0.123,-0.022,0.9,-2.8,-2.9,726,846,0,,,,
R,,274109.0,0.019,0.122,-0.016,0.9,-2.5,-2.9,735,858,0,,,,
R,,274119.0,0.015,0.123,-0.026,0.6,-2.6,-3.2,725,847,0,,,,
R,,274129.0,0.009,0.12,-0.025,0.4,-3.0,-3.2,726,850,0,,,,
R,,274139.0,0.01,0.123,-0.027,0.3,-3.5,-3.4,734,860,0,,,,
R,,274149.0,0.017,0.119,-0.032,0.3,-3.8,-3.7,736,862,0,,,,
R,,274159.0,0.046,0.12,-0.033,0.4,-3.6,-4.0,740,869,0,,,,
R,,274169.0,0.027,0.121,-0.021,0.5,-2.9,-4.4,739,872,0,,,,
R,,274179.0,0.022,0.122,-0.028,0.4,-2.1,-5.0,738,871,0,,,,
R,,274189.0,0.017,0.12,-0.028,0.6,-1.8,-5.4,738,873,0,,,,
R,,274199.0,0.011,0.123,-0.025,0.6,-1.8,-5.6,736,876,0,,,,
R,,274209.0,0.006,0.124,-0.021,0.7,-1.7,-5.8,733,879,0,,,,
R,,274219.0,0.006,0.124,-0.021,0.7,-2.0,-5.8,735,880,0,,,,
R,,274229.0,0.009,0.123,-0.025,0.8,-2.2,-6.0,729,882,0,,,,
R,,274239.0,0.009,0.124,-0.023,1.0,-2.4,-5.9,726,882,0,,,,
R,,274249.0,0.008,0.128,-0.023,0.8,-2.1,-6.1,719,886,0,,,,
R,,274259.0,0.01,0.128,-0.027,0.7,-1.8,-6.4,711,885,0,,,,
R,,274269.0,0.008,0.128,-0.031,0.6,-1.7,-6.5,701,888,0,,,,
R,,274279.0,0.004,0.128,-0.029,0.5,-1.6,-6.6,687,887,0,,,,
R,,274289.0,0.0,0.128,-0.03,0.1,-1.6,-6.7,663,892,0,,,,
R,,274299.0,0.004,0.128,-0.031,0.0,-1.8,-7.0,622,892,0,,,,
R,,274309.0,0.006,0.132,-0.031,-0.2,-1.7,-7.3,571,894,0,,,,
R,,274319.0,0.009,0.13,-0.035,-0.3,-1.5,-8.0,459,900,0,,,,
R,,274329.0,0.0,0.134,-0.028,-0.5,-1.9,-8.6,402,899,0,,,,
R,,274339.0,0.001,0.144,-0.022,-1.0,-2.4,-9.6,301,901,0,,,,
R,,274349.0,0.003,0.144,-0.022,-1.5,-3.0,-10.1,270,905,0,,,,
R,,274359.0,0.005,0.148,-0.021,-1.6,-3.6,-10.7,250,905,0,,,,
R,,274369.0,0.004,0.151,-0.024,-2.3,-3.7,-11.5,221,906,0,,,,
R,,274379.0,-0.004,0.157,-0.025,-2.9,-4.4,-11.6,216,905,0,,,,
R,,274389.0,-0.009,0.161,-0.033,-3.4,-5.6,-12.0,211,903,0,,,,
R,,274399.0,-0.007,0.165,-0.034,-4.0,-6.9,-12.2,226,903,0,,,,
R,,274409.0,-0.006,0.173,-0.028,-5.2,-8.2,-12.6,209,904,0,,,,
R,,274419.0,0.004,0.182,-0.036,-6.2,-9.3,-13.6,178,900,0,,,,
R,,274429.0,0.022,0.189,-0.035,-6.4,-10.3,-14.5,180,901,0,,,,
R,,274439.0,0.039,0.197,-0.026,-7.6,-10.2,-16.3,186,901,0,,,,
R,,274449.0,0.053,0.205,-0.016,-8.0,-9.9,-18.2,180,900,0,,,,
R,,274459.0,0.062,0.213,-0.011,-8.7,-9.7,-19.7,196,900,0,,,,
R,,274469.0,0.077,0.227,-0.019,-9.0,-10.1,-21.2,172,900,0,,,,
R,,274479.0,0.093,0.238,-0.031,-9.1,-11.4,-22.4,181,900,0,,,,
R,,274489.0,0.102,0.245,-0.052,-9.3,-13.4,-23.9,184,900,0,,,,
R,,274499.0,0.122,0.246,-0.072,-9.1,-16.0,-24.9,194,902,0,,,,
R,,274509.0,0.116,0.215,-0.068,-10.0,-18.0,-26.6,167,898,0,,,,
R,,274519.0,0.078,0.191,-0.048,-10.5,-17.0,-26.7,171,895,0,,,,
R,,274529.0,0.029,0.194,-0.008,-11.6,-11.2,-27.0,159,890,0,,,,
R,,274539.0,0.023,0.192,-0.032,-11.1,-1.7,-27.9,178,879,0,,,,
R,,274549.0,0.039,0.163,-0.071,-10.2,3.9,-26.7,178,869,0,,,,
R,,274559.0,0.008,0.157,-0.083,-9.1,5.5,-24.5,190,847,0,,,,
R,,274569.0,-0.013,0.157,-0.031,-7.3,6.7,-22.3,173,813,0,,,,
R,,274616.0,-0.037,0.007,-0.014,-2.7,-0.9,-6.3,255,679,0,,,,
R,,274676.0,0.036,0.009,-0.005,-2.6,-0.2,14.5,294,618,0,,,,
R,,274736.0,0.032,0.059,-0.019,0.3,17.7,23.8,269,641,0,,,,
R,,274796.0,0.005,0.095,-0.039,0.3,19.8,32.9,302,642,0,,,,
R,,274886.0,0.003,0.237,-0.096,4.5,16.7,42.6,292,636,0,,,,
R,,274946.0,-0.133,0.261,-0.101,5.0,3.2,34.9,210,611,0,,,,
R,,275007.0,-0.144,0.201,-0.015,3.8,4.6,-3.9,164,633,0,,,,
R,,275066.0,0.054,0.19,0.063,5.7,2.9,-22.0,645,756,0,,,,
R,,275126.0,0.031,0.118,-0.041,6.5,0.8,-15.4,681,792,0,,,,
R,,275216.0,0.018,0.137,-0.018,0.0,-4.2,-8.8,705,825,0,,,,
R,,275276.0,0.022,0.124,-0.024,0.8,0.1,-6.5,731,855,0,,,,
R,,275336.0,0.009,0.122,-0.02,0.0,-1.4,-3.9,728,848,0,,,,
R,,275396.0,0.009,0.121,-0.028,0.1,-1.4,-2.3,742,866,0,,,,
R,,275457.0,0.009,0.125,-0.018,0.0,-1.6,-2.1,744,872,0,,,,
R,,275516.0,0.029,0.12,-0.036,-0.2,-1.5,-4.2,744,878,0,,,,
R,,275577.0,0.018,0.14,-0.017,-2.2,-4.0,-9.8,689,892,0,,,,
R,,275636.0,-0.002,0.161,-0.01,-5.2,-7.2,-12.4,269,905,0,,,,
R,,275696.0,0.065,0.225,-0.014,-10.0,-7.9,-20.3,202,900,0,,,,
R,,275757.0,0.129,0.202,-0.061,-14.2,-13.7,-29.6,177,895,0,,,,
R,,275816.0,0.022,0.136,-0.028,-9.5,16.0,-23.8,158,716,0,,,,
R,,275876.0,-0.083,0.056,-0.013,-7.2,8.9,-4.4,223,678,0,,,,
R,,275936.0,0.0,0.007,-0.056,-9.7,14.3,19.0,254,664,0,,,,
R,,275997.0,0.009,0.059,-0.045,-8.8,10.3,27.2,262,674,0,,,,
R,,276056.0,0.018,0.089,-0.051,-1.9,9.1,38.7,295,667,0,,,,
R,,276117.0,0.019,0.213,-0.067,8.8,9.3,46.9,263,632,0,,,,
R,,276176.0,-0.136,0.337,-0.076,13.5,29.2,35.2,186,631,0,,,,
R,,276236.0,-0.188,0.233,0.0,5.0,4.2,-1.9,224,595,0,,,,
R,,276296.0,-0.003,0.228,0.063,5.2,11.9,-25.3,653,767,0,,,,
R,,276356.0,-0.052,0.155,-0.053,8.8,7.0,-14.8,688,807,0,,,,
R,,276417.0,0.028,0.127,-0.031,3.2,-2.8,-7.4,721,842,0,,,,
R,,276476.0,0.02,0.124,-0.017,1.2,-0.9,-4.8,738,861,0,,,,
R,,276566.0,0.019,0.121,-0.013,0.1,-1.4,-3.7,740,874,0,,,,
R,,276626.0,0.015,0.121,-0.019,0.2,-1.1,-5.0,735,880,0,,,,
R,,276686.0,0.014,0.126,-0.017,-0.1,-0.6,-5.4,729,886,0,,,,
R,,276747.0,0.005,0.131,-0.022,-1.2,-1.3,-6.3,686,894,0,,,,
R,,276806.0,0.007,0.146,-0.006,-2.8,-2.3,-9.0,302,910,0,,,,
R,,276867.0,0.015,0.17,-0.016,-5.8,-4.1,-12.2,217,906,0,,,,
R,,276926.0,0.069,0.226,-0.027,-9.9,-1.9,-21.4,191,901,0,,,,
R,,276986.0,0.077,0.172,-0.033,-13.4,-6.4,-27.5,168,888,0,,,,
R,,277046.0,0.0,0.096,-0.001,-9.1,12.3,-20.9,140,609,0,,,,
R,,277106.0,0.0,0.031,-0.026,-6.8,11.6,3.6,239,671,0,,,,
R,,277167.0,0.024,0.022,-0.041,-8.4,16.8,17.5,239,665,0,,,,
R,,277226.0,-0.016,0.066,-0.057,-6.9,18.0,29.5,233,655,0,,,,
R,,277287.0,0.003,0.126,-0.081,-1.9,13.2,40.2,260,643,0,,,,
R,,277346.0,-0.003,0.221,-0.091,9.1,9.3,45.5,240,610,0,,,,
R,,277407.0,-0.122,0.312,-0.038,15.9,22.7,30.2,243,588,0,,,,
R,,277466.0,-0.225,0.221,-0.073,7.0,21.2,-9.4,218,638,0,,,,
R,,277526.0,0.038,0.165,0.035,6.7,7.4,-19.5,653,765,0,,,,
R,,277586.0,0.012,0.096,-0.028,7.0,0.1,-11.5,678,794,0,,,,
R,,277676.0,0.018,0.135,-0.01,1.7,-2.6,-7.4,713,834,0,,,,
R,,277737.0,0.02,0.122,-0.022,2.3,0.1,-5.5,718,838,0,,,,
R,,277796.0,0.015,0.122,-0.016,1.9,-3.2,-3.2,732,851,0,,,,
R,,277856.0,0.009,0.121,-0.022,1.5,-2.1,-2.8,742,866,0,,,,
R,,277917.0,0.015,0.123,-0.022,1.2,-1.9,-3.1,747,869,0,,,,
R,,277976.0,0.014,0.125,-0.025,1.0,-1.7,-4.5,748,876,0,,,,
R,,278037.0,0.014,0.137,-0.03,0.0,-3.4,-9.2,700,887,0,,,,
R,,278096.0,0.0,0.159,-0.024,-1.7,-4.6,-13.0,242,904,0,,,,
R,,278157.0,0.042,0.202,-0.02,-6.5,-9.6,-18.3,174,900,0,,,,
R,,278216.0,0.174,0.275,-0.074,-9.8,-17.5,-27.2,171,904,0,,,,
R,,278277.0,0.018,0.155,-0.092,-8.8,4.8,-25.9,165,842,0,,,,
R,,278336.0,-0.132,0.052,0.0,1.6,-3.0,-3.6,253,685,0,,,,
R,,278396.0,0.039,-0.001,-0.001,0.5,-4.6,20.4,261,611,0,,,,
R,,278457.0,0.049,0.056,-0.002,4.0,11.0,28.9,259,604,0,,,,
R,,278516.0,0.03,0.116,-0.023,5.5,17.0,37.1,312,603,0,,,,
R,,278578.0,0.02,0.235,-0.056,5.1,14.9,46.7,259,578,0,,,,
R,,278636.0,-0.115,0.282,-0.135,3.8,3.2,40.8,236,548,0,,,,
R,,278697.0,-0.234,0.228,0.001,0.0,1.2,-3.3,169,587,0,,,,
R,,278756.0,0.081,0.17,0.091,4.5,-0.5,-16.8,635,749,0,,,,
R,,278846.0,-0.038,0.143,-0.087,5.5,2.4,-16.1,689,807,0,,,,
R,,278907.0,0.03,0.131,0.009,1.1,-1.9,-10.6,733,861,0,,,,
R,,278966.0,0.005,0.122,-0.036,1.2,1.5,-7.2,745,880,0,,,,
R,,279027.0,0.007,0.121,-0.018,0.8,-0.9,-4.2,740,888,0,,,,
R,,279086.0,0.011,0.123,-0.025,1.0,-2.2,-4.2,722,890,0,,,,
R,,279146.0,0.006,0.122,-0.029,1.0,-0.9,-4.9,710,895,0,,,,
R,,279207.0,0.003,0.124,-0.027,1.2,-0.9,-5.6,661,899,0,,,,
R,,279266.0,0.0,0.126,-0.026,1.2,-1.1,-6.8,374,907,0,,,,
R,,279328.0,-0.006,0.147,-0.047,-0.7,-1.8,-9.6,214,908,0,,,,
R,,279386.0,0.001,0.163,-0.04,-3.9,-5.1,-12.9,163,903,0,,,,
R,,279447.0,0.041,0.199,-0.04,-6.3,-5.9,-20.2,159,898,0,,,,
R,,279506.0,0.076,0.216,-0.02,-12.7,-35.6,-21.6,134,894,0,,,,
R,,279567.0,0.031,0.145,-0.016,-5.9,1.3,-23.8,165,692,0,,,,
R,,279626.0,-0.06,0.049,0.014,-0.4,-3.3,-1.2,198,640,0,,,,
R,,279716.0,0.042,0.051,-0.008,0.7,12.6,22.2,228,665,0,,,,
R,,279777.0,-0.004,0.091,-0.036,0.0,17.4,33.3,244,655,0,,,,
R,,279836.0,0.002,0.158,-0.06,-0.9,16.6,39.3,262,646,0,,,,
R,,279896.0,-0.042,0.237,-0.121,5.0,10.2,42.5,243,609,0,,,,
R,,279957.0,-0.116,0.274,0.008,12.3,10.6,29.4,228,617,0,,,,
R,,280016.0,-0.22,0.208,-0.008,8.6,22.9,-10.0,300,569,0,,,,
R,,280078.0,0.008,0.234,0.057,0.0,1.0,-19.5,674,786,0,,,,
R,,280136.0,0.024,0.085,-0.019,7.3,-2.6,-14.4,687,805,0,,,,
R,,280197.0,0.023,0.141,-0.011,1.0,-2.7,-11.1,713,834,0,,,,
R,,280256.0,0.016,0.12,-0.025,1.8,2.3,-8.1,720,839,0,,,,
R,,280317.0,0.0,0.121,-0.024,0.4,-0.8,-6.3,738,866,0,,,,
R,,280376.0,0.018,0.127,-0.018,1.1,0.1,-6.3,739,881,0,,,,
R,,280436.0,0.005,0.123,-0.022,0.1,-1.4,-5.6,705,892,0,,,,
R,,280497.0,-0.002,0.13,-0.024,-0.2,-1.3,-5.8,535,901,0,,,,
R,,280556.0,0.0,0.136,-0.018,-0.3,-3.5,-5.3,231,906,0,,,,
R,,280617.0,0.004,0.144,-0.024,-1.8,-2.9,-9.3,223,906,0,,,,
R,,280676.0,0.0,0.171,-0.027,-4.9,-4.1,-13.4,204,904,0,,,,
R,,280738.0,0.089,0.21,-0.027,-10.6,-13.5,-19.6,151,901,0,,,,
R,,280796.0,0.013,0.209,-0.045,-9.0,0.0,-26.2,173,879,0,,,,
R,,280857.0,0.0,0.013,-0.029,-5.8,1.8,-14.5,125,531,0,,,,
R,,280916.0,0.009,0.043,-0.02,-4.6,-3.3,4.6,192,635,0,,,,
R,,280976.0,0.031,0.03,-0.019,0.3,8.6,18.7,221,617,0,,,,
R,,281037.0,0.017,0.083,-0.002,1.8,18.4,30.9,227,616,0,,,,
R,,281096.0,0.017,0.146,-0.036,2.0,21.4,40.0,274,609,0,,,,
R,,281157.0,-0.021,0.26,-0.094,2.0,10.1,46.7,258,586,0,,,,
R,,281216.0,-0.18,0.265,-0.086,11.2,12.0,31.2,229,541,0,,,,
R,,281277.0,-0.236,0.196,-0.088,4.6,13.1,-7.8,277,558,0,,,,
R,,281336.0,-0.03,0.223,0.056,3.7,14.5,-20.7,671,787,0,,,,
R,,281426.0,-0.016,0.169,-0.051,6.0,-1.5,-9.2,695,811,0,,,,
R,,281488.0,0.035,0.132,-0.015,2.3,-1.9,-8.5,703,822,0,,,,
R,,281546.0,0.006,0.133,-0.012,1.2,0.8,-7.1,738,859,0,,,,
R,,281607.0,0.017,0.123,-0.017,1.3,-0.6,-5.1,748,875,0,,,,
R,,281666.0,0.013,0.123,-0.02,1.5,-1.9,-4.2,746,885,0,,,,
R,,281726.0,-0.001,0.124,-0.03,0.6,-1.4,-4.7,732,890,0,,,,
R,,281817.0,-0.005,0.134,-0.02,-0.1,-2.0,-5.9,587,900,0,,,,
