side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase
L,,238511,-0.349,2.064,-0.402,142.2,-98.2,-9.8,581,481,0
L,,238536,-0.138,0.993,-0.360,131.2,-100.9,-7.2,582,537,0
L,,238546,-0.013,0.877,0.212,128.2,-84.9,-7.4,515,520,0
L,,238556,-0.148,0.799,0.092,127.6,-77.0,-0.1,584,510,0
L,,238566,-0.435,0.752,-0.196,128.6,-54.7,3.2,399,416,0
L,,238576,-0.356,0.935,-0.315,122.4,-31.1,1.7,406,451,0
L,,238586,-0.045,0.967,-0.224,99.1,-26.2,-0.9,478,532,0
L,,238596,0.243,0.975,-0.150,86.3,-20.5,1.2,437,478,0
L,,238606,0.262,0.948,-0.013,76.3,-18.2,-0.8,402,446,0
L,,238616,0.205,0.958,-0.099,65.5,-28.8,-1.4,414,460,0
L,,238626,0.045,0.971,-0.067,57.8,-31.2,-3.5,482,519,0
L,,238636,0.114,1.020,-0.020,51.2,-27.3,-4.6,527,597,0
L,,238646,0.092,1.074,-0.061,46.6,-22.4,-6.9,577,511,0
L,,238656,0.020,1.053,-0.053,42.9,-17.7,-7.3,565,551,0
L,,238666,-0.033,0.976,-0.067,39.4,-9.5,-8.4,480,353,0
L,,238676,-0.044,0.960,-0.078,37.7,1.4,-8.6,554,478,0
L,,238686,-0.001,0.975,-0.112,32.8,4.3,-8.9,425,319,0
L,,238696,0.029,0.986,-0.084,28.4,3.4,-10.3,441,531,0
L,,238706,0.021,0.971,-0.060,24.5,-0.4,-11.0,400,373,0
L,,238716,-0.008,1.041,-0.035,23.0,3.2,-12.6,320,304,0
L,,238726,-0.020,1.045,-0.044,19.8,1.6,-12.8,356,380,0
L,,238736,-0.011,1.037,-0.032,19.2,3.6,-14.8,333,339,0
L,,238746,0.020,0.976,-0.019,16.5,-3.0,-15.5,393,371,0
L,,238756,-0.060,1.015,-0.038,17.3,0.9,-14.7,405,408,0
L,,238766,-0.007,0.967,-0.056,19.1,2.5,-15.8,323,334,0
L,,238776,-0.056,0.991,-0.050,19.4,4.2,-15.8,317,321,0
L,,238786,-0.091,0.996,-0.027,21.2,8.8,-15.8,407,368,0
L,,238796,-0.071,1.005,-0.031,20.1,10.9,-17.2,351,324,0
L,,238806,-0.028,0.993,-0.101,26.0,14.7,-15.1,305,327,0
L,,238816,-0.048,1.018,-0.075,24.6,12.8,-15.9,271,327,0
L,,238826,-0.050,1.022,-0.038,27.3,12.8,-14.4,289,309,0
L,,238836,-0.086,1.031,-0.049,29.7,16.7,-14.7,240,318,0
L,,238846,-0.020,1.047,-0.043,32.4,19.7,-16.6,273,315,0
L,,238856,-0.028,1.051,-0.058,37.8,20.0,-16.1,195,317,0
L,,238866,-0.046,1.082,-0.033,39.9,20.0,-16.3,199,336,0
L,,238876,-0.047,1.042,-0.069,41.7,23.4,-18.6,210,323,0
L,,238886,-0.044,1.023,-0.114,44.8,25.4,-20.1,194,271,0
L,,238896,-0.025,1.026,-0.079,46.9,24.5,-21.4,120,210,0
L,,238906,-0.019,0.986,-0.142,48.3,24.7,-20.5,134,97,0
L,,238916,-0.017,1.013,-0.133,51.2,25.4,-20.5,95,155,0
L,,238926,-0.031,1.046,-0.112,54.2,23.0,-18.5,71,131,0
L,,238936,-0.107,1.095,-0.069,57.2,20.7,-18.6,63,92,0
L,,238946,-0.119,1.155,-0.072,60.6,21.7,-19.8,36,52,0
L,,238956,-0.138,1.201,-0.078,65.4,25.9,-20.4,57,30,0
L,,238966,-0.129,1.235,-0.066,73.0,34.6,-19.5,26,30,0
L,,238976,-0.081,1.260,-0.072,79.3,36.6,-19.9,12,23,0
L,,238986,-0.031,1.292,-0.088,85.1,35.9,-19.2,10,15,0
L,,239224,-0.353,-0.330,-0.065,19.5,176.2,-134.6,28,11,0
L,,239234,-0.190,0.284,0.125,46.3,198.8,-106.8,23,12,0
L,,239244,0.157,0.295,0.131,-2.9,173.1,-123.3,41,15,0
L,,239254,0.696,-0.031,1.119,-53.3,169.0,-111.7,35,15,0
L,,239264,0.714,0.020,0.953,-85.3,128.3,-108.2,28,15,0
L,,239274,0.903,0.092,0.754,-91.7,93.0,-108.2,31,14,0
L,,239284,0.846,-0.002,0.646,-138.0,61.3,-107.0,38,15,0
L,,239294,0.708,0.040,0.571,-168.2,23.7,-108.2,40,15,0
L,,239304,0.681,0.022,0.546,-189.8,1.7,-99.8,50,16,0
L,,239314,0.632,0.147,0.404,-214.4,-17.4,-86.3,60,18,0
L,,239324,0.548,0.210,0.378,-232.4,-26.3,-81.2,53,18,0
L,,239334,0.477,0.357,0.350,-252.5,-29.0,-75.5,46,15,0
L,,239344,0.388,0.510,0.368,-270.7,-22.7,-68.3,51,18,0
L,,239354,0.371,0.682,0.344,-287.0,-8.1,-59.3,55,18,0
L,,239364,0.316,0.801,0.301,-301.3,8.4,-52.9,52,19,0
L,,239374,0.271,1.010,0.264,-310.1,31.0,-44.5,47,20,0
L,,239384,0.166,1.216,0.224,-307.0,65.0,-42.7,31,14,0
L,,239394,0.247,1.242,0.280,-322.0,77.4,-45.8,20,14,0
L,,239404,0.373,1.537,0.242,-310.8,98.7,-55.6,23,12,0
L,,239414,0.346,1.656,0.219,-283.8,130.0,-55.1,31,17,0
L,,239424,0.328,1.800,0.040,-261.0,156.1,-49.4,31,18,0
L,,239434,0.345,1.874,-0.019,-275.3,155.0,-50.6,41,23,0
L,,239444,0.449,1.895,-0.063,-287.9,166.8,-63.0,35,22,0
L,,239454,0.529,2.175,-0.300,-280.0,191.9,-68.6,33,20,0
L,,239464,0.689,2.046,-0.519,-276.2,201.2,-77.1,53,29,0
L,,239474,0.963,1.946,-0.561,-277.8,189.4,-75.9,52,28,0
L,,239484,1.117,1.902,-0.698,-273.8,164.2,-72.9,50,33,0
L,,239494,1.304,1.827,-0.768,-272.8,127.3,-63.8,60,31,0
L,,239504,1.312,1.877,-0.912,-260.4,87.1,-45.8,59,33,0
L,,239514,1.048,1.899,-1.100,-254.1,38.5,-39.4,59,33,0
L,,239524,0.856,1.804,-1.253,-235.4,1.3,-32.9,61,36,0
L,,239534,0.674,1.778,-1.623,-209.3,-20.8,-24.7,62,37,0
L,,239544,0.346,1.802,-2.080,-169.1,-14.0,-15.8,31,29,0
L,,239554,0.428,1.806,-2.419,-95.7,7.4,-18.9,85,26,0
L,,239564,0.428,1.826,-2.132,-13.3,22.1,-10.2,129,38,0
L,,239574,0.654,1.479,-1.825,74.2,13.7,6.7,65,20,0
L,,239584,0.263,1.161,-1.377,87.5,6.0,20.5,173,25,0
L,,239594,0.077,1.243,-1.412,116.3,8.7,20.8,210,47,0
L,,239604,0.315,1.018,0.154,112.3,15.9,21.0,480,51,0
L,,239614,0.690,1.510,1.328,94.2,1.4,25.1,488,520,0
L,,239624,0.967,1.753,1.960,69.0,20.0,18.7,526,537,0
L,,239634,0.977,1.957,-2.285,264.0,92.4,23.0,540,594,0
L,,239644,1.280,1.423,-0.889,174.7,-28.0,20.5,553,588,0
L,,239654,-0.189,1.349,-0.298,123.9,-79.4,-2.8,585,381,0
L,,239664,-0.264,1.150,0.018,115.4,-85.9,2.3,526,578,0
L,,239674,-0.369,0.922,-0.287,115.0,-77.0,6.8,467,354,0
L,,239914,-0.053,1.037,-0.046,21.2,10.6,-8.3,300,347,0
L,,239924,-0.065,1.016,-0.037,22.6,12.6,-8.1,310,359,0
L,,239950,-0.052,1.010,-0.065,24.9,20.0,-10.7,238,314,0
L,,240009,-0.041,1.023,-0.104,37.4,25.5,-13.5,108,66,0
L,,240070,0.049,1.086,-0.125,53.8,22.0,-15.5,81,45,0
L,,240129,-0.109,1.325,-0.075,86.7,21.7,-13.3,29,29,0
L,,240189,0.089,1.473,-0.063,127.8,10.0,-13.5,28,38,0
L,,240250,0.201,2.106,0.540,184.1,47.5,-22.6,17,23,0
L,,240309,0.061,1.387,-0.210,284.2,157.8,-17.9,39,24,0
L,,240370,-0.144,0.373,-0.205,101.0,37.0,-35.2,101,27,0
L,,240429,0.410,0.045,0.800,-83.5,67.2,-75.9,33,14,0
L,,240519,0.431,0.484,0.299,-277.2,31.0,-43.0,76,29,0
L,,240580,0.278,1.474,0.184,-315.2,77.8,-29.5,40,34,0
L,,240639,0.585,2.231,-0.437,-287.8,170.8,-48.3,59,66,0
L,,240700,0.858,1.877,-1.600,-253.5,-4.4,-31.8,34,32,0
L,,240759,0.268,1.236,-1.587,143.4,-38.2,11.6,164,33,0
L,,240820,1.304,1.665,-1.930,174.0,-53.3,18.1,527,282,0
L,,240879,-0.239,0.712,0.169,104.7,-68.0,0.7,415,472,0
L,,240939,0.449,0.944,-0.065,72.1,-34.9,-4.8,458,528,0
L,,241000,-0.023,1.017,-0.036,39.4,-7.0,-3.9,456,534,0
L,,241059,-0.002,0.968,-0.042,22.9,7.0,-6.6,435,382,0
L,,241120,-0.038,0.999,-0.038,29.2,12.2,-7.2,276,212,0
L,,241179,-0.007,1.028,-0.047,42.1,10.1,-7.8,207,357,0
L,,241240,-0.096,1.118,-0.115,52.2,13.3,-14.0,108,91,0
L,,241299,-0.005,1.285,-0.090,80.0,25.5,-9.4,28,18,0
L,,241360,0.069,1.390,-0.097,125.7,15.9,-7.9,17,13,0
L,,241419,0.181,1.927,0.318,187.7,14.0,-16.0,19,15,0
L,,241479,0.138,1.516,0.143,271.1,187.7,-57.4,46,19,0
L,,241570,0.013,-0.570,-0.180,53.6,178.7,-22.1,67,22,0
L,,241629,0.399,0.093,0.412,-109.6,36.4,-69.0,59,19,0
L,,241690,0.204,0.311,0.242,-235.3,-30.2,-51.5,101,23,0
L,,241780,0.321,1.660,-0.185,-280.1,66.6,-43.0,45,25,0
L,,241839,0.561,1.625,-0.708,-261.8,69.5,-41.3,54,27,0
L,,241900,0.301,1.647,-0.971,-203.5,12.5,-27.2,38,34,0
L,,241959,0.240,1.465,-1.251,66.8,37.1,-0.5,75,19,0
L,,242019,0.656,1.662,1.731,-6.2,-51.3,-16.0,436,459,0
L,,242080,-0.252,1.134,-0.346,101.8,-54.8,-8.1,477,245,0
L,,242139,0.290,0.945,-0.151,82.9,-25.4,4.4,515,564,0
L,,242200,0.003,1.014,-0.003,52.8,-10.6,-5.4,413,478,0
L,,242290,0.010,0.997,-0.058,28.5,0.3,-4.4,346,366,0
L,,242349,0.005,0.991,-0.082,22.4,6.5,-7.4,331,341,0
L,,242410,-0.006,1.019,-0.064,30.1,5.3,-6.6,302,243,0
L,,242500,0.005,1.045,-0.109,45.5,4.9,-9.8,122,84,0
L,,242559,0.068,1.149,-0.161,60.4,20.9,-12.3,17,15,0
L,,242650,-0.058,1.381,-0.052,111.3,7.1,-15.6,23,14,0
L,,242740,-0.105,2.154,0.667,209.2,128.5,-49.7,92,32,0
L,,243454,0.125,0.993,0.005,70.2,-0.7,13.5,537,522,0
L,,243464,0.268,1.075,0.000,66.8,-3.8,4.9,536,526,0
L,,243490,0.226,0.996,0.065,53.8,-18.9,-11.9,518,595,0
L,,243549,-0.126,1.008,-0.001,50.6,-4.5,5.2,412,474,0
L,,243610,0.114,1.020,0.011,34.5,-10.9,-4.6,438,366,0
L,,243669,0.047,0.973,-0.085,28.9,-9.4,-5.3,409,397,0
L,,243730,-0.005,1.005,-0.083,30.7,3.5,-6.0,403,411,0
L,,243790,0.055,1.036,-0.130,38.3,14.7,-10.1,338,423,0
L,,243849,-0.077,1.066,-0.107,52.3,15.4,-7.9,216,128,0
L,,243910,0.069,1.101,-0.160,62.6,14.0,-7.0,80,24,0
L,,243969,-0.025,1.273,-0.137,90.5,14.7,-7.5,34,32,0
L,,244030,0.073,1.709,0.034,135.5,6.1,-9.6,23,21,0
L,,244089,0.128,1.823,0.369,199.2,101.2,-52.3,31,16,0
L,,244150,-0.036,1.072,-0.263,127.0,119.0,-72.8,17,10,0
L,,244209,0.232,0.637,-0.144,46.5,161.9,-50.6,40,18,0
L,,244270,0.530,0.110,0.169,-74.4,41.3,-59.3,116,27,0
L,,244330,0.330,0.327,0.237,-204.1,-7.9,-50.4,103,29,0
L,,244389,0.143,1.046,0.187,-246.4,122.9,-24.2,42,22,0
L,,244450,0.801,1.591,-0.416,-254.5,164.6,-49.4,38,23,0
L,,244509,0.512,1.673,-0.542,-217.3,0.1,-38.5,28,14,0
L,,244570,0.250,1.370,-0.997,-117.9,75.8,-30.3,51,24,0
L,,244629,0.538,1.179,-1.257,29.4,20.4,4.4,67,103,0
L,,244690,0.161,1.428,-1.205,110.3,-17.6,-12.0,553,479,0
L,,244750,-0.312,0.823,0.109,74.9,-31.2,10.2,544,623,0
L,,244810,0.319,1.086,0.024,54.8,-16.4,-6.5,559,639,0
L,,244870,-0.152,0.976,0.021,38.2,-10.1,0.0,565,630,0
