device_ms,toe_L,heel_L,toe_R,heel_R
285504,802.0,907.0,,
285529,803.0,908.0,,
285539,802.0,910.0,,
285549,802.0,908.0,,
285559,803.0,908.0,,
285569,798.0,905.0,,
285579,802.0,908.0,,
285589,800.0,905.0,,
285599,802.0,908.0,,
285609,802.0,909.0,,
285619,804.0,908.0,,
285629,801.0,908.0,,
285639,800.0,909.0,,
285649,798.0,907.0,,
285659,797.0,909.0,,
285669,798.0,909.0,,
285679,798.0,910.0,,
285689,796.0,909.0,,
285699,796.0,910.0,,
285709,792.0,911.0,,
285719,789.0,908.0,,
285729,785.0,909.0,,
285739,781.0,908.0,,
285749,774.0,910.0,,
285759,763.0,909.0,,
285769,751.0,908.0,,
285779,728.0,908.0,,
285789,700.0,909.0,,
285799,650.0,908.0,,
285809,624.0,909.0,,
285819,611.0,907.0,,
285829,587.0,907.0,,
285839,566.0,906.0,,
285849,527.0,906.0,,
285859,484.0,908.0,,
285869,462.0,907.0,,
285879,427.0,906.0,,
285889,400.0,901.0,,
285899,417.0,897.0,,
285909,399.0,895.0,,
285919,400.0,879.0,,
285929,411.0,883.0,,
285939,406.0,884.0,,
285949,427.0,875.0,,
285959,430.0,855.0,,
285969,447.0,830.0,,
285979,442.0,792.0,,
286216,483.0,830.0,,
286226,470.0,830.0,,
286236,463.0,833.0,,
286246,450.0,834.0,,
286256,445.0,838.0,,
286266,446.0,837.0,,
286276,454.0,839.0,,
286286,459.0,839.0,,
286296,504.0,835.0,,
286306,519.0,835.0,,
286316,532.0,833.0,,
286326,545.0,827.0,,
286336,592.0,834.0,,
286346,612.0,836.0,,
286356,683.0,849.0,,
286366,736.0,864.0,,
286376,759.0,875.0,,
286386,768.0,880.0,,
286396,770.0,883.0,,
286406,778.0,886.0,,
286416,782.0,889.0,,
286426,785.0,891.0,,
286436,787.0,894.0,,
286446,789.0,897.0,,
286456,788.0,895.0,,
286466,791.0,900.0,,
286476,794.0,902.0,,
286486,796.0,903.0,,
286496,797.0,905.0,,
286506,795.0,904.0,,
286516,799.0,906.0,,
286526,800.0,905.0,,
286536,801.0,905.0,,
286546,805.0,911.0,,
286556,802.0,906.0,,
286566,799.0,906.0,,
286576,802.0,906.0,,
286586,803.0,907.0,,
286596,803.0,909.0,,
286606,803.0,908.0,,
286616,803.0,907.0,,
286626,804.0,910.0,,
286636,803.0,909.0,,
286646,804.0,909.0,,
286656,803.0,910.0,,
286666,804.0,908.0,,
286905,805.0,914.0,,
286915,797.0,912.0,,
286925,797.0,913.0,,
286935,796.0,911.0,,
286945,791.0,911.0,,
286955,788.0,911.0,,
287001,732.0,907.0,,
287061,484.0,910.0,,
287122,403.0,899.0,,
287181,417.0,816.0,,
287271,508.0,809.0,,
287332,528.0,820.0,,
287391,497.0,832.0,,
287452,428.0,846.0,,
287511,410.0,852.0,,
287572,570.0,854.0,,
287631,776.0,885.0,,
287692,788.0,891.0,,
287782,799.0,904.0,,
287841,804.0,908.0,,
287902,801.0,908.0,,
287961,796.0,912.0,,
288021,797.0,912.0,,
288112,795.0,911.0,,
288171,787.0,912.0,,
288231,763.0,911.0,,
288291,633.0,909.0,,
288351,480.0,911.0,,
288442,339.0,893.0,,
288501,416.0,830.0,,
288561,444.0,815.0,,
288622,485.0,814.0,,
288681,461.0,828.0,,
288742,411.0,840.0,,
288801,388.0,852.0,,
288891,497.0,856.0,,
288995,784.0,890.0,,
289041,790.0,898.0,,
289101,797.0,903.0,,
289161,800.0,905.0,,
289221,801.0,906.0,,
289282,802.0,908.0,,
289372,801.0,908.0,,
289431,801.0,907.0,,
289492,798.0,908.0,,
289551,793.0,907.0,,
290266,453.0,833.0,,
290276,454.0,834.0,,
290301,502.0,834.0,,
290362,756.0,869.0,,
290421,775.0,883.0,,
290482,789.0,896.0,,
290541,794.0,903.0,,
290601,795.0,906.0,,
290662,800.0,905.0,,
290721,799.0,907.0,,
290782,801.0,905.0,,
290841,798.0,905.0,,
290931,792.0,904.0,,
290991,625.0,899.0,,
291051,497.0,889.0,,
291112,552.0,833.0,,
291171,570.0,832.0,,
291232,578.0,832.0,,
291291,558.0,832.0,,
291351,500.0,831.0,,
291412,499.0,835.0,,
291471,673.0,848.0,,
291532,779.0,887.0,,
291591,792.0,898.0,,
291652,798.0,904.0,,
291711,801.0,905.0,,
291772,800.0,908.0,,
291862,803.0,907.0,,
291921,803.0,908.0,,
291982,801.0,908.0,,
292041,794.0,912.0,,
292131,545.0,911.0,,
292221,467.0,882.0,,
292282,530.0,827.0,,
292341,553.0,824.0,,
292402,566.0,829.0,,
292461,525.0,838.0,,
292522,495.0,847.0,,
292582,498.0,853.0,,
292642,732.0,875.0,,
292702,793.0,899.0,,
292791,802.0,908.0,,
292852,801.0,909.0,,
292912,800.0,908.0,,
293001,804.0,907.0,,
293062,802.0,909.0,,
293566,585.0,822.0,,
293576,586.0,822.0,,
293602,587.0,820.0,,
293662,582.0,819.0,,
293721,591.0,840.0,,
293782,770.0,880.0,,
293841,789.0,893.0,,
293902,799.0,906.0,,
293961,801.0,909.0,,
294022,798.0,907.0,,
294082,796.0,909.0,,
294142,799.0,912.0,,
294202,798.0,913.0,,
294261,791.0,912.0,,
294322,763.0,910.0,,
294381,669.0,911.0,,
294472,544.0,908.0,,
294532,420.0,889.0,,
294591,427.0,795.0,,
294652,488.0,797.0,,
294742,511.0,811.0,,
294801,528.0,809.0,,
294862,518.0,811.0,,
294922,531.0,819.0,,
294982,538.0,834.0,,
295041,771.0,881.0,,
295102,781.0,891.0,,
295192,796.0,906.0,,
295251,799.0,912.0,,
295312,799.0,912.0,,
295372,798.0,911.0,,
295432,797.0,912.0,,
295492,796.0,913.0,,
295551,793.0,911.0,,
295612,784.0,909.0,,
295671,782.0,906.0,,
295732,764.0,902.0,,
295791,724.0,886.0,,
295852,636.0,858.0,,
295912,652.0,864.0,,
295972,650.0,870.0,,
296032,656.0,869.0,,
296091,662.0,867.0,,
296152,644.0,870.0,,
296210,640.0,872.0,,
296301,653.0,872.0,,
296806,809.0,915.0,,
296816,805.0,912.0,,
296841,804.0,911.0,,
296902,803.0,911.0,,
296961,802.0,913.0,,
297022,789.0,911.0,,
297082,732.0,911.0,,
297142,567.0,908.0,,
297232,397.0,881.0,,
297291,490.0,821.0,,
297352,529.0,826.0,,
297412,527.0,839.0,,
297501,521.0,851.0,,
297562,486.0,857.0,,
297622,474.0,865.0,,
297682,584.0,869.0,,
297742,779.0,890.0,,
297832,795.0,905.0,,
297892,799.0,907.0,,
297952,800.0,908.0,,
298012,799.0,907.0,,
298102,801.0,912.0,,
298162,801.0,912.0,,
298222,794.0,910.0,,
298282,785.0,913.0,,
298342,771.0,911.0,,
298432,706.0,911.0,,
298492,536.0,910.0,,
298552,339.0,900.0,,
298612,371.0,863.0,,
298702,472.0,792.0,,
298762,487.0,800.0,,
298822,477.0,804.0,,
298912,409.0,805.0,,
298972,432.0,816.0,,
299032,454.0,829.0,,
299092,721.0,852.0,,
299152,773.0,880.0,,
299211,781.0,892.0,,
299272,797.0,907.0,,
299362,803.0,911.0,,
299452,803.0,914.0,,
299512,803.0,914.0,,
299572,804.0,913.0,,
299632,804.0,915.0,,
299722,799.0,912.0,,
300436,788.0,895.0,,
300446,783.0,892.0,,
300472,787.0,895.0,,
300575,795.0,899.0,,
300622,793.0,899.0,,
300682,788.0,891.0,,
300742,788.0,891.0,,
300832,788.0,891.0,,
300891,788.0,894.0,,
300952,785.0,889.0,,
301012,779.0,887.0,,
301072,604.0,860.0,,
301132,530.0,845.0,,
301192,583.0,820.0,,
301251,584.0,809.0,,
301312,571.0,804.0,,
301372,519.0,823.0,,
301462,548.0,848.0,,
301522,749.0,875.0,,
301582,786.0,893.0,,
301642,797.0,904.0,,
301732,805.0,913.0,,
301791,804.0,914.0,,
301882,802.0,913.0,,
301942,803.0,913.0,,
302002,803.0,915.0,,
302092,787.0,911.0,,
302152,664.0,910.0,,
302212,430.0,914.0,,
302272,367.0,899.0,,
302332,351.0,853.0,,
302422,477.0,783.0,,
302482,504.0,792.0,,
302542,504.0,800.0,,
302602,478.0,807.0,,
302662,457.0,813.0,,
302721,532.0,817.0,,
302782,773.0,881.0,,
302842,778.0,889.0,,
302902,783.0,893.0,,
302962,784.0,893.0,,
303022,787.0,893.0,,
303082,787.0,896.0,,
303185,792.0,900.0,,
303202,794.0,902.0,,
303305,795.0,906.0,,
303767,541.0,816.0,,
303777,541.0,813.0,,
303833,531.0,812.0,,
303892,511.0,819.0,,
303952,491.0,833.0,,
304012,515.0,846.0,,
304072,741.0,861.0,,
304132,777.0,885.0,,
304222,787.0,897.0,,
304282,786.0,897.0,,
304342,787.0,896.0,,
304402,782.0,889.0,,
304492,778.0,887.0,,
304595,780.0,890.0,,
304612,782.0,889.0,,
304672,782.0,888.0,,
304732,783.0,890.0,,
304792,759.0,895.0,,
304852,521.0,889.0,,
304912,474.0,881.0,,
305002,525.0,791.0,,
305062,529.0,799.0,,
305123,550.0,801.0,,
305182,569.0,816.0,,
305242,558.0,824.0,,
305302,556.0,821.0,,
305362,508.0,820.0,,
305452,590.0,835.0,,
305512,771.0,877.0,,
305572,780.0,899.0,,
305632,777.0,907.0,,
305692,755.0,912.0,,
305782,721.0,910.0,,
305842,744.0,910.0,,
305902,784.0,911.0,,
305962,800.0,907.0,,
306022,801.0,908.0,,
306083,804.0,910.0,,
306172,803.0,908.0,,
306232,805.0,912.0,,
306292,804.0,912.0,,
306352,803.0,912.0,,
306413,794.0,912.0,,
306515,614.0,912.0,,
306532,605.0,911.0,,
306592,501.0,908.0,,
307126,541.0,861.0,,
307136,539.0,861.0,,
307192,767.0,880.0,,
307282,790.0,898.0,,
307342,798.0,907.0,,
307402,799.0,907.0,,
307462,789.0,905.0,,
307522,773.0,905.0,,
307583,758.0,905.0,,
307642,720.0,908.0,,
307703,656.0,905.0,,
307762,594.0,907.0,,
307822,514.0,904.0,,
307913,345.0,894.0,,
308002,405.0,708.0,,
308062,431.0,737.0,,
308123,441.0,766.0,,
308182,465.0,802.0,,
308286,475.0,806.0,,
308302,487.0,809.0,,
308362,488.0,817.0,,
308422,434.0,829.0,,
308512,748.0,870.0,,
308572,782.0,889.0,,
308632,793.0,905.0,,
308692,798.0,910.0,,
308795,795.0,908.0,,
308898,794.0,909.0,,
308908,793.0,910.0,,
308962,773.0,910.0,,
309022,664.0,911.0,,
309083,442.0,916.0,,
309142,388.0,911.0,,
309203,314.0,895.0,,
309292,423.0,785.0,,
309352,433.0,806.0,,
309413,429.0,794.0,,
309502,476.0,791.0,,
309562,435.0,808.0,,
309623,428.0,828.0,,
309682,419.0,842.0,,
309772,782.0,888.0,,
309833,789.0,901.0,,
309892,796.0,911.0,,
309953,792.0,911.0,,
310012,788.0,914.0,,
310517,432.0,798.0,,
310527,453.0,803.0,,
310552,448.0,812.0,,
310613,469.0,827.0,,
310672,454.0,804.0,,
310732,455.0,780.0,,
310791,476.0,781.0,,
310852,474.0,802.0,,
310942,450.0,832.0,,
311033,748.0,864.0,,
311092,786.0,894.0,,
311152,789.0,895.0,,
311212,791.0,900.0,,
311272,792.0,901.0,,
311363,796.0,905.0,,
311453,798.0,909.0,,
311512,786.0,911.0,,
311616,553.0,913.0,,
311632,527.0,914.0,,
311692,474.0,915.0,,
311752,311.0,910.0,,
311812,344.0,880.0,,
311903,475.0,816.0,,
311962,503.0,823.0,,
312022,513.0,829.0,,
312083,498.0,835.0,,
312142,447.0,842.0,,
312203,440.0,854.0,,
312292,724.0,861.0,,
312352,785.0,891.0,,
312413,793.0,898.0,,
312502,799.0,907.0,,
312562,802.0,907.0,,
312623,802.0,909.0,,
312682,800.0,911.0,,
312743,798.0,914.0,,
312802,776.0,914.0,,
312863,631.0,913.0,,
312922,510.0,916.0,,
312982,354.0,914.0,,
313042,322.0,903.0,,
313102,428.0,786.0,,
313163,467.0,816.0,,
313222,499.0,828.0,,
313283,506.0,835.0,,
313342,496.0,845.0,,
314087,790.0,915.0,,
314097,781.0,911.0,,
314123,738.0,912.0,,
314182,501.0,915.0,,
314243,336.0,917.0,,
314302,325.0,906.0,,
314363,407.0,851.0,,
