side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase
L,,2367166,0.238,0.289,0.043,-7.9,10.9,17.3,397,724,0
L,,2367176,0.183,0.336,0.030,-8.8,11.1,19.9,404,730,0
L,,2367186,0.088,0.368,0.013,-9.5,11.2,22.5,412,727,0
L,,2367196,0.075,0.417,-0.012,-10.5,11.5,24.6,419,729,0
L,,2367206,0.110,0.469,-0.053,-11.5,11.6,26.4,426,726,0
L,,2367216,0.176,0.528,-0.054,-12.2,11.8,28.4,429,724,0
L,,2367226,0.230,0.572,-0.067,-13.3,11.3,29.7,427,723,0
L,,2367236,0.250,0.643,-0.059,-14.0,10.5,31.0,432,727,0
L,,2367246,0.217,0.724,-0.048,-14.8,9.8,32.3,433,729,0
L,,2367256,0.124,0.850,-0.035,-15.8,9.6,33.6,432,729,0
L,,2367266,0.061,0.927,-0.024,-16.9,9.5,34.3,439,730,0
L,,2367276,0.008,1.016,-0.014,-17.9,9.5,34.9,439,725,0
L,,2367286,0.005,1.063,-0.004,-18.7,9.3,35.4,441,728,0
L,,2367296,0.036,1.191,-0.025,-19.7,9.1,35.9,443,727,0
L,,2367306,0.053,1.322,-0.073,-20.2,9.0,35.7,442,728,0
L,,2367316,0.064,1.413,-0.119,-20.8,8.6,35.2,445,731,0
L,,2367326,0.052,1.621,-0.139,-21.1,8.1,34.5,443,731,0
L,,2367336,0.030,1.534,-0.146,-21.3,7.0,33.8,442,731,0
L,,2367346,0.000,1.546,-0.091,-21.5,6.0,33.4,438,730,0
L,,2367356,0.020,1.734,-0.062,-22.0,5.2,33.0,428,726,0
L,,2367366,0.134,1.731,-0.102,-21.6,3.7,32.3,418,725,0
L,,2367376,0.246,1.810,-0.162,-21.9,0.0,31.6,408,720,0
L,,2367386,0.053,1.895,-0.231,-22.2,-3.7,31.1,415,718,0
L,,2367396,-0.220,1.942,-0.214,-21.8,-6.7,29.8,422,718,0
L,,2367406,-0.375,1.961,-0.169,-20.7,-10.6,27.4,419,718,0
L,,2367416,-0.534,1.953,-0.191,-19.1,-12.9,25.7,413,712,0
L,,2367426,-0.751,1.928,-0.246,-17.5,-14.0,23.7,419,712,0
L,,2367436,-0.954,1.904,-0.254,-15.6,-14.0,20.0,428,725,0
L,,2367446,-1.191,1.870,-0.216,-13.6,-13.0,16.1,426,730,0
L,,2367456,-1.525,1.871,-0.173,-12.0,-11.0,11.9,427,732,0
L,,2367466,-1.808,1.737,-0.297,-8.8,-8.2,6.8,430,729,0
L,,2367476,-1.795,1.624,-0.400,-4.7,-6.1,1.9,409,694,0
L,,2367486,-1.747,1.585,-0.446,-1.6,-5.7,-3.7,423,716,0
L,,2367496,-1.710,1.579,-0.409,1.2,-5.7,-8.7,491,726,0
L,,2367506,-0.835,1.596,-0.329,-4.0,-6.9,-8.9,578,760,0
L,,2367516,0.903,0.739,1.624,13.9,-8.6,-8.2,623,776,0
L,,2367526,2.415,0.843,0.480,3.3,2.0,-5.5,641,783,0
L,,2367536,0.814,1.329,0.287,-1.7,9.8,-0.2,658,795,0
L,,2367546,-0.311,1.043,0.345,4.4,4.0,-9.5,667,804,0
L,,2367556,0.184,1.881,0.274,3.3,7.2,-9.8,673,805,0
L,,2367566,0.217,2.123,0.805,0.2,6.7,-16.3,687,819,0
L,,2367576,0.039,1.306,0.165,1.4,3.5,-16.4,690,821,0
L,,2367586,0.213,1.105,0.142,0.6,-1.3,-15.8,694,825,0
L,,2367596,0.502,1.005,0.113,-1.3,-5.5,-14.1,699,825,0
L,,2367606,0.229,0.887,0.297,-2.0,-8.2,-12.7,700,828,0
L,,2367616,-0.125,0.926,0.536,-1.6,-7.1,-12.1,697,824,0
L,,2367626,-0.169,0.892,0.569,-1.3,-5.6,-11.1,698,825,0
L,,2367636,-0.257,1.013,0.512,-1.4,-3.4,-12.0,693,822,0
L,,2367646,-0.225,1.094,0.508,0.4,-0.4,-10.2,698,825,0
L,,2367656,-0.067,1.001,0.441,1.6,4.5,-7.6,702,831,0
L,,2367666,-0.007,0.943,0.452,1.3,6.5,-7.3,703,831,0
L,,2367676,0.161,0.898,0.391,1.9,7.2,-6.4,700,829,0
L,,2367686,0.189,0.870,0.399,1.9,6.8,-6.5,703,831,0
L,,2367696,0.241,0.890,0.374,0.9,5.6,-6.0,703,831,0
L,,2367706,0.278,0.922,0.364,0.5,4.0,-6.4,706,833,0
L,,2367716,0.297,0.975,0.364,0.1,0.0,-6.4,705,832,0
L,,2367726,0.242,0.952,0.408,0.7,1.2,-6.8,706,832,0
L,,2367736,0.195,0.888,0.443,0.9,1.2,-6.7,708,835,0
L,,2367746,0.089,0.875,0.469,1.0,1.9,-6.5,709,835,0
