side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,condition_1_offset,2588084.0,-0.155,0.914,-0.285,-0.9,-2.5,-3.5,447,661,0,,,,
R,condition_1_offset,2588142.0,-0.14,0.944,-0.279,-0.7,-2.6,-3.0,519,800,0,,,,
R,condition_1_offset,2588233.0,-0.172,0.94,-0.284,-1.7,-3.3,-2.9,409,716,0,,,,
R,condition_1_offset,2588292.0,-0.161,1.028,-0.288,-2.5,-3.2,-4.6,353,651,0,,,,
R,condition_1_offset,2588352.0,-0.153,1.094,-0.2,-5.0,-1.1,-8.6,221,613,0,,,,
R,condition_1_offset,2588413.0,-0.226,1.378,-0.535,-11.6,-3.1,-11.7,181,608,0,,,,
R,condition_1_offset,2588472.0,0.112,1.78,-0.593,-10.2,-7.6,-17.5,102,317,0,,,,
R,condition_1_offset,2588533.0,0.037,1.179,-0.276,-8.8,-13.2,-16.6,150,566,0,,,,
R,condition_1_offset,2588592.0,-0.437,0.663,-0.243,-9.2,0.0,-10.6,139,487,0,,,,
R,condition_1_offset,2588653.0,0.325,0.233,-0.002,-3.2,6.1,-2.3,180,510,0,,,,
R,condition_1_offset,2588712.0,0.024,0.168,-0.172,1.7,16.9,12.7,279,520,0,,,,
R,condition_1_offset,2588773.0,0.122,0.508,-0.272,4.5,17.8,25.4,243,462,0,,,,
R,condition_1_offset,2588834.0,-0.05,1.083,-0.442,6.4,11.7,35.7,182,480,0,,,,
R,condition_1_offset,2588892.0,-0.068,2.018,-0.629,14.8,13.1,38.7,175,393,0,,,,
R,condition_1_offset,2588953.0,-1.501,1.917,-0.572,13.6,14.3,22.8,169,453,0,,,,
R,condition_1_offset,2589012.0,-0.739,1.772,-0.067,1.0,-0.9,-8.2,201,421,0,,,,
R,condition_1_offset,2589073.0,0.219,1.612,1.279,-4.9,-0.6,-14.2,415,703,0,,,,
R,condition_1_offset,2589132.0,-0.56,0.992,-1.1,4.2,6.5,-17.5,490,761,0,,,,
R,condition_1_offset,2589222.0,0.108,1.008,0.003,-2.2,-8.3,-6.8,495,778,0,,,,
R,condition_1_offset,2589283.0,-0.044,0.922,-0.252,-2.1,-2.2,-5.2,539,801,0,,,,
R,condition_1_offset,2589342.0,-0.002,1.007,-0.217,-0.3,-2.9,-4.1,545,808,0,,,,
R,condition_1_offset,2589403.0,-0.081,1.011,-0.282,-0.3,-4.2,-2.7,556,772,0,,,,
R,condition_1_offset,2589462.0,-0.066,0.976,-0.277,-2.0,-3.0,-3.3,360,665,0,,,,
R,condition_1_offset,2589524.0,-0.173,0.981,-0.232,-2.7,-2.6,-3.9,413,624,0,,,,
R,condition_1_offset,2589583.0,-0.184,1.004,-0.216,-2.5,-3.2,-3.6,246,424,0,,,,
R,condition_1_offset,2589642.0,-0.064,1.093,-0.247,-4.9,-3.1,-6.5,164,483,0,,,,
R,condition_1_offset,2589703.0,-0.203,1.257,-0.312,-8.6,-0.4,-12.0,141,452,0,,,,
R,condition_1_offset,2589762.0,-0.063,1.642,-0.604,-10.5,-3.0,-16.0,163,474,0,,,,
R,condition_1_offset,2589823.0,0.613,1.53,-0.744,-10.0,-14.3,-15.4,152,443,0,,,,
R,condition_1_offset,2589882.0,-0.194,1.117,-0.11,-10.0,-8.2,-11.1,44,267,0,,,,
R,condition_1_offset,2589943.0,-0.597,0.112,-0.292,-3.6,0.3,-3.6,191,496,0,,,,
R,condition_1_offset,2590002.0,0.172,0.129,-0.256,-1.2,20.7,7.0,200,463,0,,,,
R,condition_1_offset,2590063.0,-0.124,0.4,-0.335,1.8,25.7,19.2,190,498,0,,,,
