0, 247111.9 757. 575. 884. 781. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
1, 247143.2 757. 575. 885. 786. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
2, 247174.5 771. 589. 885. 786. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
3, 247205.8 771. 589. 893. 790. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
4, 247237.1 778. 601. 893. 790. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
5, 247268.4 778. 601. 896. 795. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
6, 247299.7 773. 591. 896. 795. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
7, 247331. 773. 591. 900. 794. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
8, 247362.3 769. 572. 900. 794. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
9, 247393.6 769. 572. 904. 784. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
10, 247424.9 774. 576. 904. 784. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
11, 247456.2 774. 576. 909. 752. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
12, 247487.5 771. 572. 909. 752. 745. 934. 462. 879. 755. 915. 269. 795. 79.96446 1.;
13, 247518.8 771. 572. 908. 651. 745. 934. 462. 879. 755. 915. 511. 795. 79.96446 1.;
14, 247550.1 782. 698. 908. 651. 745. 934. 462. 879. 755. 915. 511. 795. 79.96446 1.;
15, 247581.4 782. 698. 906. 631. 745. 934. 462. 879. 755. 915. 511. 795. 79.96446 1.;
16, 247612.7 930. 855. 906. 631. 745. 934. 462. 879. 755. 915. 604. 795. 79.96446 1.000321;
17, 247644. 930. 855. 905. 459. 745. 934. 462. 879. 775. 915. 459. 795. 79.96446 1.000321;
18, 247675.3 931. 868. 905. 459. 745. 934. 462. 879. 775. 915. 459. 795. 79.96446 1.000321;
19, 247706.6 931. 868. 896. 316. 745. 934. 462. 879. 793. 915. 316. 795. 79.96446 1.000321;
20, 247737.9 932. 873. 896. 316. 745. 934. 462. 879. 793. 915. 316. 795. 79.96446 1.000321;
21, 247769.2 932. 873. 723. 553. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
22, 247800.5 931. 875. 723. 553. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
23, 247831.8 931. 875. 751. 604. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
24, 247863.1 927. 875. 751. 604. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
25, 247894.4 927. 875. 779. 621. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
26, 247925.7 927. 874. 779. 621. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
27, 247957. 927. 874. 795. 628. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
28, 247988.3 930. 876. 795. 628. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
29, 248019.6 930. 876. 813. 641. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
30, 248050.9 929. 871. 813. 641. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
31, 248082.2 929. 871. 818. 648. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
32, 248113.5 927. 864. 818. 648. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
33, 248144.8 919. 838. 818. 648. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
34, 248176.1 919. 838. 821. 638. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
35, 248207.4 919. 838. 830. 648. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
36, 248238.7 912. 756. 830. 648. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000321;
37, 248270. 912. 756. 811. 703. 745. 934. 462. 879. 723. 915. 316. 795. 79.96446 1.000767;
38, 248301.3 897. 700. 811. 703. 745. 934. 550. 879. 723. 915. 316. 795. 79.96446 1.000767;
39, 248332.6 897. 700. 827. 728. 757. 934. 550. 879. 723. 915. 316. 795. 79.96446 1.000767;
40, 248363.9 880. 623. 827. 728. 757. 934. 572. 879. 723. 915. 316. 795. 79.96446 1.000767;
41, 248395.2 880. 623. 857. 756. 769. 934. 572. 879. 723. 915. 316. 795. 79.96446 1.000767;
42, 248426.5 888. 459. 857. 756. 769. 934. 459. 879. 723. 915. 316. 795. 79.96446 1.000767;
