side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase
R,,7148,0.156,0.028,1.017,0.5,-4.2,-0.7,865,753,0
R,,7158,0.157,0.025,1.020,0.3,-2.7,-0.5,865,755,0
R,,7168,0.159,0.027,1.015,0.8,-4.1,-0.7,868,757,0
R,,7178,0.151,0.030,1.015,0.2,-3.5,-1.0,867,760,0
R,,7188,0.161,0.030,1.011,0.9,-4.5,-0.5,868,760,0
R,,7198,0.161,0.029,1.019,0.2,-3.0,-0.5,869,762,0
R,,7208,0.159,0.025,1.011,-0.1,-3.2,-0.7,870,763,0
R,,7218,0.152,0.024,1.013,0.3,-3.5,-0.9,870,765,0
R,,7228,0.159,0.026,1.016,1.2,-3.5,-0.8,870,766,0
R,,7238,0.157,0.029,1.015,1.2,-3.3,-0.6,870,766,0
R,,7248,0.153,0.030,1.015,0.2,-3.3,-0.9,870,766,0
R,,7258,0.157,0.028,1.014,-0.2,-3.5,-0.7,869,766,0
R,,7268,0.158,0.026,1.015,0.3,-3.3,-0.4,870,766,0
R,,7278,0.156,0.026,1.015,0.9,-3.5,-0.5,871,767,0
R,,7288,0.154,0.025,1.012,0.4,-3.4,-0.8,872,767,0
R,,7298,0.160,0.029,1.015,0.4,-3.5,-0.9,871,768,0
R,,7308,0.157,0.030,1.017,0.6,-3.4,-0.5,869,771,0
R,,7318,0.155,0.028,1.015,0.5,-3.2,-0.7,873,772,0
R,,7328,0.155,0.028,1.016,0.5,-3.7,-0.7,873,769,0
R,,7338,0.157,0.028,1.016,0.2,-3.8,-0.7,871,771,0
R,,7348,0.156,0.028,1.014,0.4,-3.9,-0.6,872,772,0
R,,7358,0.158,0.028,1.013,0.3,-3.7,-0.5,873,773,0
R,,7368,0.158,0.027,1.012,0.2,-3.4,-0.5,872,771,0
R,,7378,0.156,0.027,1.016,0.4,-3.5,-0.7,873,772,0
R,,7388,0.154,0.025,1.014,0.9,-3.5,-0.7,875,774,0
R,,7398,0.155,0.025,1.015,0.9,-3.4,-0.7,875,774,0
R,,7408,0.156,0.029,1.015,0.6,-3.7,-0.6,875,776,0
R,,7418,0.156,0.029,1.015,0.0,-3.7,-0.7,874,774,0
R,,7428,0.158,0.029,1.014,0.0,-3.9,-0.7,878,780,0
R,,7438,0.157,0.025,1.015,0.3,-3.6,-0.6,874,780,0
R,,7448,0.157,0.027,1.015,0.8,-3.7,-0.9,878,783,0
R,,7458,0.158,0.029,1.017,0.7,-3.2,-0.9,876,783,0
R,,7468,0.157,0.026,1.013,0.9,-3.3,-0.6,875,783,0
R,,7478,0.155,0.031,1.015,0.5,-3.6,-0.8,876,786,0
R,,7488,0.152,0.031,1.013,0.2,-3.5,-0.6,879,786,0
R,,7498,0.159,0.031,1.018,0.2,-3.8,-0.5,878,788,0
R,,7508,0.158,0.026,1.016,0.0,-3.3,-0.7,877,787,0
R,,7518,0.154,0.027,1.014,0.2,-3.6,-0.9,878,786,0
R,,7528,0.154,0.028,1.014,0.7,-3.4,-0.7,878,786,0
R,,7538,0.156,0.030,1.013,1.0,-3.4,-0.8,880,790,0
R,,7548,0.155,0.029,1.014,0.7,-3.1,-0.6,879,791,0
R,,7558,0.155,0.027,1.015,0.1,-3.4,-0.7,877,792,0
R,,7568,0.159,0.027,1.015,0.2,-3.4,-0.7,879,792,0
R,,7578,0.157,0.025,1.017,0.6,-3.5,-0.5,881,793,0
R,,7588,0.158,0.027,1.014,0.8,-3.6,-0.7,881,796,0
R,,7598,0.157,0.028,1.014,0.4,-3.5,-0.8,880,798,0
R,,7608,0.160,0.026,1.015,0.4,-3.4,-0.5,882,797,0
R,,7618,0.158,0.028,1.017,0.7,-3.3,-0.7,881,795,0
R,,7628,0.157,0.026,1.017,0.6,-3.5,-0.7,880,797,0
R,,7638,0.156,0.028,1.016,0.4,-3.5,-0.8,881,797,0
R,,7648,0.155,0.026,1.016,0.6,-3.5,-0.7,882,798,0
R,,7658,0.157,0.029,1.015,0.5,-3.7,-0.6,882,799,0
R,,7668,0.156,0.029,1.014,0.4,-3.7,-0.4,881,801,0
R,,7678,0.157,0.026,1.016,0.1,-3.5,-0.7,883,802,0
R,,7688,0.156,0.025,1.015,0.2,-3.5,-0.7,883,800,0
R,,7698,0.155,0.027,1.015,0.6,-3.5,-0.7,883,802,0
R,,7708,0.156,0.027,1.014,0.9,-3.5,-0.6,882,802,0
R,,7718,0.157,0.029,1.016,0.6,-3.7,-0.7,883,801,0
R,,7728,0.158,0.030,1.014,0.3,-3.7,-0.9,883,803,0
R,,7738,0.157,0.030,1.014,0.2,-3.5,-0.6,885,804,0
R,,7748,0.157,0.026,1.016,0.2,-3.6,-0.4,885,802,0
R,,7758,0.156,0.026,1.014,0.5,-3.9,-0.7,887,804,0
R,,7768,0.157,0.030,1.016,0.4,-3.5,-0.9,886,803,0
R,,7778,0.157,0.029,1.013,0.5,-3.5,-0.6,886,803,0
R,,7788,0.154,0.026,1.015,0.4,-3.4,-0.7,885,807,0
R,,7798,0.154,0.028,1.016,0.4,-3.4,-0.7,886,806,0
R,,7808,0.155,0.025,1.016,0.7,-3.8,-0.6,888,805,0
R,,7818,0.157,0.031,1.015,0.3,-3.4,-0.8,887,806,0
R,,7828,0.157,0.030,1.013,0.4,-3.5,-0.7,886,804,0
R,,7838,0.155,0.027,1.013,0.4,-3.5,-0.7,885,805,0
R,,7848,0.157,0.028,1.015,0.5,-3.5,-0.7,885,807,0
R,,7858,0.153,0.027,1.016,0.6,-3.3,-0.6,885,803,0
R,,7868,0.157,0.028,1.018,0.6,-3.3,-0.7,888,808,0
R,,7878,0.154,0.029,1.016,0.7,-3.5,-0.7,886,808,0
R,,7888,0.155,0.028,1.014,0.5,-3.7,-0.7,888,807,0
R,,7898,0.155,0.029,1.013,0.4,-3.7,-0.6,888,806,0
R,,7908,0.155,0.029,1.014,0.2,-3.5,-0.5,887,806,0
R,,7918,0.158,0.026,1.016,0.4,-3.5,-0.5,887,805,0
R,,7928,0.158,0.026,1.015,0.6,-3.5,-0.7,887,805,0
R,,7938,0.156,0.027,1.016,0.7,-3.5,-0.7,885,806,0
R,,7948,0.157,0.026,1.016,0.8,-3.6,-0.7,887,807,0
R,,7958,0.157,0.029,1.013,0.5,-3.5,-0.7,886,807,0
R,,7968,0.157,0.028,1.013,0.3,-3.5,-0.6,885,806,0
R,,7978,0.157,0.027,1.016,0.2,-3.6,-0.7,887,804,0
R,,7988,0.156,0.027,1.014,0.4,-3.6,-0.7,887,804,0
R,,7998,0.156,0.028,1.014,0.7,-3.7,-0.9,887,806,0
R,,8008,0.158,0.028,1.015,0.5,-3.4,-0.7,884,807,0
R,,8018,0.157,0.028,1.016,0.5,-3.5,-0.6,888,807,0
R,,8028,0.156,0.029,1.016,0.5,-3.6,-0.8,886,806,0
R,,8038,0.158,0.028,1.017,0.4,-3.5,-0.7,886,803,0
R,,8048,0.156,0.028,1.018,0.4,-3.6,-0.7,885,805,0
R,,8058,0.155,0.028,1.016,0.4,-3.4,-0.6,885,805,0
R,,8068,0.157,0.029,1.012,0.4,-3.7,-0.6,885,806,0
R,,8080,0.156,0.027,1.015,0.4,-3.7,-0.7,884,805,0
R,,8090,0.156,0.029,1.015,0.4,-3.6,-0.7,885,805,0
R,,8100,0.157,0.028,1.015,0.3,-3.6,-0.7,885,804,0
R,,8110,0.157,0.031,1.017,0.4,-3.6,-0.7,883,805,0
R,,8120,0.157,0.028,1.013,0.5,-3.7,-0.8,885,805,0
R,,8130,0.156,0.027,1.015,0.4,-3.5,-0.7,885,805,0
R,,8140,0.156,0.029,1.013,0.2,-3.5,-0.7,886,804,0
R,,8150,0.157,0.028,1.014,0.6,-3.2,-0.8,883,806,0
R,,8160,0.156,0.027,1.017,0.7,-3.2,-0.7,883,804,0
R,,8170,0.156,0.026,1.015,0.7,-3.2,-0.8,884,803,0
R,,8180,0.158,0.028,1.016,0.4,-3.5,-0.7,884,806,0
R,,8190,0.157,0.026,1.016,0.6,-3.6,-0.7,887,806,0
R,,8200,0.156,0.026,1.014,0.4,-3.4,-0.6,885,805,0
R,,8210,0.158,0.026,1.013,0.2,-3.7,-0.7,883,803,0
R,,8220,0.155,0.025,1.013,0.3,-3.6,-0.7,884,802,0
R,,8230,0.155,0.026,1.017,0.7,-3.5,-0.7,885,804,0
R,,8240,0.155,0.025,1.018,0.8,-3.4,-0.7,882,802,0
R,,8250,0.155,0.027,1.015,0.4,-3.4,-0.8,883,800,0
R,,8260,0.156,0.028,1.016,0.5,-3.7,-0.7,881,802,0
R,,8270,0.157,0.030,1.015,0.6,-3.5,-0.6,883,802,0
R,,8280,0.156,0.026,1.014,0.4,-3.6,-0.6,882,804,0
R,,8290,0.157,0.027,1.014,0.5,-3.5,-0.7,882,803,0
R,,8300,0.160,0.028,1.015,0.8,-3.5,-0.8,884,803,0
R,,8310,0.154,0.028,1.015,1.0,-3.2,-0.5,881,804,0
R,,8320,0.156,0.027,1.015,0.8,-3.3,-0.5,882,802,0
R,,8330,0.157,0.028,1.016,1.1,-3.2,-0.8,881,801,0
R,,8340,0.156,0.031,1.018,0.5,-3.4,-0.9,881,803,0
R,,8350,0.156,0.031,1.014,0.4,-3.5,-0.7,882,802,0
R,,8360,0.155,0.030,1.013,0.3,-3.5,-0.7,881,801,0
R,,8370,0.155,0.029,1.014,0.3,-3.5,-0.6,882,800,0
R,,8380,0.153,0.027,1.014,0.4,-3.5,-0.6,880,799,0
R,,8390,0.157,0.029,1.014,0.3,-3.6,-0.7,880,799,0
R,,8400,0.156,0.027,1.013,0.4,-3.7,-0.5,879,800,0
R,,8448,0.157,0.027,1.015,0.4,-3.6,-0.5,879,799,0
R,,8507,0.159,0.029,1.018,0.5,-3.7,-0.5,872,796,0
R,,8568,0.154,0.029,1.015,0.3,-3.4,-0.7,870,793,0
R,,8627,0.158,0.028,1.013,0.4,-3.4,-0.6,870,796,0
R,,8688,0.156,0.030,1.016,0.2,-3.4,-0.7,878,802,0
R,,8748,0.156,0.029,1.016,0.0,-3.7,-0.6,879,801,0
R,,8808,0.155,0.029,1.016,0.7,-3.3,-0.7,881,803,0
R,,8868,0.154,0.027,1.016,0.3,-3.5,-0.9,884,809,0
R,,8928,0.156,0.031,1.017,0.3,-3.7,-0.4,883,808,0
R,,8988,0.159,0.027,1.016,0.4,-3.6,-0.5,885,809,0
R,,9047,0.155,0.027,1.016,0.4,-3.3,-0.8,887,814,0
R,,9107,0.155,0.029,1.017,0.2,-3.5,-0.7,888,814,0
R,,9167,0.157,0.029,1.016,0.5,-3.7,-1.0,890,815,0
R,,9228,0.158,0.027,1.016,0.6,-3.4,-0.6,889,818,0
R,,9288,0.154,0.027,1.015,0.6,-3.5,-0.7,891,821,0
R,,9348,0.157,0.029,1.017,0.4,-3.5,-0.9,892,822,0
R,,9408,0.154,0.029,1.016,0.6,-3.4,-0.5,894,825,0
R,,9467,0.156,0.027,1.014,0.5,-3.5,-0.7,890,824,0
