side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase
R,,3814840,-0.097,1.022,-0.148,0.2,0.7,-34.3,743,895,0
R,,3814850,-0.122,1.018,-0.116,-3.9,-5.7,-31.2,746,906,0
R,,3814860,-0.109,1.004,-0.089,-4.8,-6.7,-28.9,738,899,0
R,,3814870,-0.121,0.996,-0.188,-1.7,-21.6,-26.4,731,899,0
R,,3814880,-0.087,0.888,-0.122,6.7,-23.0,-26.0,722,902,0
R,,3814890,-0.100,1.040,-0.147,-4.4,-31.0,-28.4,713,902,0
R,,3814900,-0.058,1.042,-0.015,-8.1,-25.6,-30.1,699,902,0
R,,3814910,-0.070,1.027,-0.156,-18.2,-25.7,-28.7,685,902,0
R,,3814920,-0.073,1.070,-0.217,-17.6,-32.4,-35.2,659,907,0
R,,3814930,-0.059,1.049,-0.155,-16.8,-32.8,-36.7,640,906,0
R,,3814940,-0.064,1.078,-0.092,-21.7,-29.4,-40.8,612,883,0
R,,3814950,-0.073,1.045,-0.093,-23.8,-29.4,-44.2,624,905,0
R,,3814960,-0.064,1.050,-0.057,-28.4,-24.3,-48.3,617,905,0
R,,3814970,-0.044,1.103,-0.056,-36.9,-16.5,-51.7,608,900,0
R,,3814980,-0.061,1.135,-0.113,-38.8,-6.2,-54.0,607,908,0
R,,3814990,-0.104,1.225,-0.166,-46.9,-10.9,-62.7,605,906,0
R,,3815000,-0.075,1.265,-0.080,-52.4,-15.7,-65.9,615,906,0
R,,3815010,-0.017,1.328,0.033,-64.2,-12.9,-68.1,592,907,0
R,,3815020,0.005,1.380,0.079,-71.6,-4.2,-77.6,575,905,0
R,,3815030,0.013,1.422,0.049,-78.8,-0.7,-87.7,581,909,0
R,,3815040,0.015,1.463,0.049,-89.5,7.7,-94.2,566,907,0
R,,3815050,0.024,1.491,0.000,-102.7,10.5,-100.5,546,905,0
R,,3815060,0.004,1.556,-0.097,-112.3,10.3,-112.2,528,914,0
R,,3815070,0.037,1.601,-0.123,-123.5,0.5,-119.7,478,906,0
R,,3815080,0.114,1.688,-0.093,-139.5,-6.3,-128.8,457,902,0
R,,3815090,0.222,1.868,-0.091,-151.5,-25.2,-140.2,450,902,0
R,,3815100,0.419,2.027,-0.004,-161.1,-52.9,-144.9,450,903,0
R,,3815110,0.557,2.333,0.039,-163.5,-80.2,-140.9,385,900,0
R,,3815120,1.031,2.663,-0.081,-160.7,-93.8,-157.7,361,897,0
R,,3815130,1.540,2.620,-0.315,-201.8,-32.0,-181.4,227,899,0
R,,3815140,1.626,2.541,-0.543,-207.6,17.5,-219.1,243,900,0
R,,3815150,0.760,2.211,-0.560,-236.7,113.1,-279.7,223,873,0
R,,3815160,0.434,2.005,-0.327,-278.5,201.4,-331.6,230,893,0
R,,3815170,-0.364,1.954,-0.436,-258.0,285.8,-353.2,200,885,0
R,,3815180,-0.296,1.736,-0.656,-248.1,280.3,-327.1,195,877,0
R,,3815190,-0.033,1.746,-0.948,-181.7,288.1,-304.0,192,852,0
R,,3815200,0.389,1.135,-0.800,-169.4,243.1,-225.6,418,811,0
R,,3815210,0.151,0.755,-0.913,-137.7,173.3,-141.8,558,723,0
R,,3815220,0.528,0.086,-1.310,-99.5,23.6,-56.0,556,734,0
R,,3815230,-0.284,-0.442,0.006,-25.3,7.1,-27.0,559,723,0
R,,3815240,0.059,0.808,-0.837,-48.3,22.4,6.9,544,691,0
R,,3815250,0.774,0.220,-0.683,-6.0,-10.4,61.8,512,688,0
R,,3815260,0.740,0.438,-0.399,-1.4,22.6,93.3,511,696,0
R,,3815270,0.544,0.430,-0.519,-21.2,12.3,109.4,525,698,0
R,,3815280,0.327,0.128,-0.337,-26.5,-7.0,126.6,518,686,0
R,,3815290,0.213,0.000,-0.169,-26.9,-9.2,150.7,520,696,0
R,,3815300,0.224,0.013,-0.105,-19.8,0.0,174.7,517,680,0
R,,3815310,0.159,0.119,-0.127,-19.9,13.3,203.0,510,681,0
R,,3815320,0.167,0.287,-0.264,-15.6,20.4,221.5,510,680,0
R,,3815330,0.145,0.341,-0.289,-5.8,28.9,240.3,511,670,0
R,,3815340,0.111,0.400,-0.306,-4.0,39.0,259.0,507,657,0
R,,3815350,0.172,0.424,-0.333,3.7,55.1,271.5,504,653,0
R,,3815360,0.158,0.491,-0.335,17.9,71.1,282.3,519,646,0
R,,3815370,0.138,0.552,-0.423,26.4,88.9,291.4,511,653,0
R,,3815380,0.110,0.683,-0.539,42.4,107.5,301.4,513,649,0
R,,3815390,0.017,0.795,-0.691,51.8,118.7,308.8,514,649,0
R,,3815400,-0.050,0.933,-0.849,60.0,116.4,314.3,515,655,0
R,,3815410,-0.066,0.966,-0.876,74.4,113.8,320.2,520,655,0
R,,3815420,-0.062,1.011,-0.977,84.4,116.6,329.7,522,657,0
R,,3815430,-0.156,1.167,-1.070,84.4,114.8,335.3,523,659,0
R,,3815440,-0.207,1.378,-1.057,96.2,115.2,336.9,518,656,0
R,,3815450,-0.354,1.595,-1.028,112.2,106.3,339.2,512,657,0
R,,3815460,-0.516,1.779,-0.855,128.0,103.3,338.8,489,662,0
R,,3815470,-0.600,1.911,-0.703,148.9,111.0,333.2,484,665,0
R,,3815480,-0.638,1.945,-0.568,170.9,126.0,323.3,489,669,0
R,,3815490,-0.858,1.997,-0.551,189.7,145.7,311.1,492,671,0
R,,3815500,-0.984,2.216,-0.546,192.2,114.7,319.3,482,677,0
R,,3815510,-1.185,2.188,-0.269,142.0,124.9,303.3,472,683,0
R,,3815520,-1.235,2.131,-0.695,123.4,96.1,310.8,447,692,0
R,,3815530,-1.884,2.369,-1.043,108.2,22.3,306.7,455,704,0
R,,3815540,-2.438,2.475,-1.023,148.8,-70.0,269.4,448,699,0
R,,3815550,-2.637,2.424,-0.692,200.4,-199.0,225.4,466,718,0
R,,3815560,-2.945,2.268,0.460,197.2,-312.6,166.6,434,725,0
R,,3815570,-2.247,2.259,1.343,195.1,-340.6,89.3,406,713,0
R,,3815580,-1.150,2.459,2.129,102.1,-189.0,-18.6,402,746,0
R,,3815590,-0.840,2.893,2.323,-86.5,65.1,-184.9,524,737,0
R,,3815600,-0.476,1.452,0.902,-239.7,227.0,-237.4,616,719,0
R,,3815610,-0.722,1.546,0.534,-168.0,285.4,-287.7,648,737,0
R,,3815620,1.196,1.328,0.563,-114.1,186.6,-287.9,664,768,0
R,,3815630,2.484,1.478,1.591,-98.4,92.9,-119.6,681,786,0
R,,3815640,-1.454,2.464,0.076,104.0,229.9,-271.1,694,798,0
R,,3815650,-3.157,2.024,-0.611,-21.4,16.5,-217.4,697,800,0
R,,3815660,-0.901,1.466,0.161,-16.2,-28.7,-116.2,698,804,0
R,,3815670,-0.062,1.254,-0.361,25.4,-24.3,-141.9,712,819,0
R,,3815680,0.467,0.210,-0.317,19.5,6.3,-144.7,726,835,0
R,,3815690,0.404,0.272,-0.152,-3.3,77.7,-143.1,726,839,0
R,,3815700,-0.507,0.505,-0.104,-44.1,59.6,-124.3,748,857,0
R,,3815710,-1.203,1.185,0.079,-66.6,-3.2,-120.4,755,865,0
R,,3815720,0.002,0.914,0.028,-74.0,-1.1,-94.1,759,870,0
R,,3815730,-0.025,0.958,-0.273,-59.2,-23.7,-82.8,763,874,0
R,,3815740,-0.306,1.144,0.198,-41.3,-57.3,-77.2,764,876,0
R,,3815750,-0.112,0.911,0.318,-17.4,-34.5,-57.4,766,876,0
R,,3815760,-0.062,0.924,-0.037,15.6,-26.8,-39.8,767,878,0
R,,3815772,-0.110,1.099,-0.075,38.8,-38.4,-40.9,770,879,0
R,,3815782,-0.049,1.025,-0.062,31.1,-51.3,-40.8,772,882,0
R,,3815792,0.040,0.858,-0.069,39.8,-50.5,-37.1,772,880,0
