side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase
R,,12831,-0.124,-0.199,0.999,-3.5,-4.4,-5.4,1,0,0
R,,12841,-0.117,-0.202,1.008,-1.8,-4.3,-4.1,0,0,0
R,,12866,-0.119,-0.198,1.004,3.7,-4.4,-1.3,0,0,0
R,,12925,-0.124,-0.175,1.006,7.3,-4.2,2.8,0,0,0
R,,12986,-0.151,-0.141,1.029,0.3,7.9,-2.2,2,0,0
R,,13045,-0.148,-0.165,0.976,4.4,0.7,-0.1,3,0,0
R,,13106,-0.152,-0.124,0.983,5.5,-4.9,1.8,4,0,0
R,,13166,-0.155,-0.132,0.995,3.7,-7.0,0.3,0,0,0
R,,13255,-0.149,-0.129,1.010,0.2,-5.1,-1.0,0,0,0
R,,13316,-0.142,-0.133,0.991,-2.5,-3.7,-1.6,0,0,0
R,,13375,-0.142,-0.152,1.004,-1.4,-4.7,-1.1,0,0,0
R,,13436,-0.136,-0.153,1.010,-1.2,-4.2,-1.9,2,0,0
R,,13496,-0.138,-0.181,1.009,0.6,-2.5,1.8,0,0,0
R,,13556,-0.143,-0.173,1.012,6.5,-0.7,6.1,4,0,0
R,,13616,-0.147,-0.156,0.991,8.1,-0.8,8.0,0,0,0
R,,13675,-0.156,-0.138,0.990,14.8,-0.2,8.8,0,0,0
R,,13736,-0.140,-0.106,0.981,40.0,-8.1,25.2,0,0,0
R,,13795,-0.139,0.016,1.010,32.2,-14.2,15.8,0,0,0
R,,13856,-0.140,0.004,0.997,29.9,-16.2,8.0,0,0,0
R,,13916,-0.159,0.003,1.035,8.8,-14.4,1.4,0,0,0
R,,13976,-0.210,0.100,1.001,-43.5,8.6,-14.2,0,0,0
R,,14036,-0.084,-0.093,1.054,-21.0,8.1,-3.7,0,0,0
R,,14096,-0.114,-0.042,1.017,-26.4,8.3,-0.4,0,0,0
R,,14186,-0.126,-0.038,0.972,8.2,6.4,-16.6,0,0,0
R,,14246,-0.161,-0.035,0.921,6.5,-2.4,-13.5,0,0,0
R,,14306,-0.201,-0.014,0.961,-3.2,-7.9,-14.2,0,0,0
R,,14366,-0.196,-0.039,0.912,-9.6,-7.2,-29.1,0,0,0
R,,14425,-0.151,-0.105,0.976,-6.7,-24.1,-27.9,0,0,0
R,,14486,-0.151,-0.179,1.353,-23.1,-19.8,-6.5,0,0,0
