side,stage,device_ms,ax,ay,az,gx,gy,gz,toe,heel,phase,L_toe,L_heel,R_toe,R_heel
R,calibration,227949.0,-3.284,2.346,0.447,8.2,1.7,12.4,255,617,9,481.0,337.0,832.0,640.0
R,calibration,228008.0,-0.769,1.656,-0.023,-4.7,-8.1,-18.2,371,610,0,483.0,333.0,834.0,638.0
R,calibration,228068.0,-1.195,1.499,-0.627,0.2,-4.4,-26.5,578,747,0,471.0,326.0,832.0,609.0
R,calibration,228128.0,-0.309,1.008,-0.191,-8.2,2.9,-15.7,668,806,0,460.0,312.0,831.0,584.0
R,calibration,228190.0,-0.038,0.765,-0.345,-1.8,-1.1,-7.5,568,830,0,281.0,184.0,826.0,589.0
R,calibration,228249.0,-0.04,0.995,-0.393,-0.5,-2.1,-4.4,536,835,0,291.0,154.0,823.0,626.0
R,calibration,228308.0,-0.041,0.915,-0.355,-1.9,-6.6,-2.2,558,828,0,196.0,98.0,828.0,649.0
R,calibration,228369.0,-0.066,0.89,-0.245,-1.3,-3.8,-2.5,464,768,0,260.0,127.0,835.0,630.0
R,calibration,228428.0,-0.055,0.982,-0.245,-1.4,-3.4,-3.5,463,762,0,254.0,123.0,834.0,665.0
R,calibration,228489.0,-0.16,1.009,-0.302,-1.6,-1.5,-5.3,418,806,0,248.0,151.0,834.0,690.0
R,calibration,228548.0,-0.021,1.216,-0.227,-3.2,-2.2,-8.7,246,813,0,253.0,91.0,814.0,675.0
R,calibration,228608.0,-0.193,1.266,-0.591,-5.2,-1.1,-13.6,198,767,0,231.0,101.0,817.0,556.0
R,calibration,228668.0,0.076,1.598,-0.553,-8.2,-7.4,-15.5,172,693,0,189.0,82.0,816.0,632.0
R,calibration,228728.0,0.568,1.684,-0.854,-9.0,-18.7,-18.7,156,667,0,183.0,72.0,818.0,660.0
R,calibration,228789.0,0.06,1.242,-0.76,-9.4,-15.2,-22.4,153,550,0,175.0,65.0,820.0,674.0
R,calibration,228850.0,0.197,0.316,-0.181,0.5,-7.5,1.5,190,588,0,175.0,65.0,822.0,677.0
R,calibration,228909.0,0.436,-0.055,-0.075,10.0,-0.2,15.1,254,580,0,188.0,76.0,831.0,633.0
R,calibration,228968.0,0.268,0.36,-0.252,20.3,-2.3,28.1,268,583,0,208.0,72.0,828.0,674.0
R,calibration,229029.0,0.234,1.181,-0.293,26.8,-5.8,34.3,291,560,0,214.0,79.0,834.0,580.0
R,calibration,229088.0,0.199,1.951,-0.149,28.8,-0.9,32.7,308,580,0,223.0,80.0,834.0,518.0
R,calibration,229148.0,-0.345,2.328,0.303,23.4,10.7,27.1,310,595,0,278.0,191.0,818.0,680.0
R,calibration,229208.0,-2.494,1.788,0.193,10.3,2.9,10.5,282,594,0,446.0,344.0,800.0,634.0
R,calibration,229268.0,0.864,0.877,-0.513,-10.1,0.8,-14.1,473,638,0,494.0,371.0,722.0,351.0
R,calibration,229329.0,0.187,1.276,-0.395,-1.4,-4.1,-21.9,439,760,0,518.0,384.0,674.0,353.0
R,calibration,229388.0,-0.471,0.869,-0.488,-6.8,2.0,-9.6,505,812,0,534.0,401.0,681.0,401.0
R,calibration,229449.0,0.049,0.903,-0.338,-3.2,-3.0,-3.9,633,823,0,544.0,401.0,692.0,399.0
R,calibration,229508.0,0.05,0.901,-0.476,-0.7,0.0,-4.3,612,829,0,545.0,411.0,677.0,390.0
R,calibration,229570.0,0.034,0.868,-0.401,-2.8,-3.1,-2.3,603,825,0,549.0,415.0,673.0,379.0
R,calibration,229628.0,-0.035,0.94,-0.47,-1.6,-2.1,-4.0,671,825,0,554.0,412.0,676.0,386.0
