device_ms,toe_L,heel_L,toe_R,heel_R
296572,,,194.0,714.0
296619,,,161.0,534.0
296679,,,761.0,846.0
296739,,,808.0,883.0
296799,,,822.0,893.0
296889,,,830.0,896.0
296949,,,827.0,897.0
297009,,,827.0,897.0
297099,,,829.0,899.0
297159,,,819.0,893.0
297219,,,697.0,792.0
297279,,,562.0,834.0
297339,,,284.0,870.0
297429,,,105.0,538.0
297519,,,235.0,585.0
297579,,,278.0,671.0
297639,,,308.0,665.0
297699,,,241.0,688.0
297789,,,198.0,716.0
297849,,,239.0,707.0
297909,,,576.0,686.0
298012,,,811.0,885.0
298029,,,814.0,887.0
298119,,,831.0,899.0
298222,,,831.0,899.0
298239,,,834.0,900.0
298299,,,831.0,901.0
298359,,,831.0,902.0
298419,,,820.0,893.0
298479,,,703.0,838.0
298539,,,659.0,888.0
298599,,,390.0,881.0
298689,,,132.0,702.0
299404,,,681.0,762.0
299414,,,661.0,743.0
299469,,,618.0,696.0
299529,,,741.0,809.0
299589,,,822.0,892.0
299649,,,823.0,889.0
299709,,,822.0,891.0
299769,,,826.0,890.0
299829,,,825.0,894.0
299889,,,817.0,891.0
299949,,,744.0,864.0
300009,,,424.0,588.0
300069,,,465.0,586.0
300129,,,537.0,721.0
300219,,,456.0,690.0
300279,,,354.0,682.0
300339,,,221.0,602.0
300399,,,395.0,567.0
300459,,,794.0,873.0
300519,,,810.0,888.0
300579,,,821.0,894.0
300639,,,827.0,895.0
300699,,,826.0,896.0
300790,,,829.0,901.0
300849,,,822.0,893.0
300909,,,767.0,848.0
300968,,,810.0,898.0
301029,,,786.0,889.0
301089,,,762.0,893.0
301149,,,728.0,880.0
301209,,,222.0,871.0
301299,,,176.0,576.0
301359,,,345.0,662.0
301419,,,300.0,526.0
301479,,,278.0,526.0
301540,,,181.0,541.0
301599,,,217.0,629.0
301659,,,200.0,562.0
301719,,,504.0,594.0
301779,,,790.0,867.0
301839,,,813.0,888.0
301899,,,824.0,895.0
301959,,,825.0,896.0
302019,,,761.0,831.0
302080,,,810.0,893.0
302182,,,690.0,787.0
302644,,,196.0,595.0
302654,,,208.0,601.0
302679,,,249.0,591.0
302739,,,316.0,664.0
302799,,,251.0,671.0
302859,,,195.0,662.0
302919,,,248.0,717.0
303009,,,769.0,851.0
303069,,,811.0,886.0
303159,,,827.0,895.0
303219,,,828.0,897.0
303322,,,673.0,780.0
303339,,,737.0,815.0
303399,,,691.0,824.0
303459,,,600.0,823.0
303519,,,587.0,894.0
303580,,,591.0,895.0
303639,,,292.0,907.0
303699,,,72.0,565.0
303759,,,182.0,650.0
303849,,,222.0,562.0
303909,,,216.0,567.0
303969,,,256.0,653.0
304059,,,208.0,695.0
304120,,,186.0,688.0
304179,,,233.0,712.0
304239,,,692.0,787.0
304299,,,809.0,882.0
304359,,,825.0,895.0
304419,,,830.0,899.0
304479,,,830.0,899.0
304583,,,828.0,901.0
304599,,,829.0,900.0
304660,,,826.0,895.0
304719,,,776.0,829.0
304779,,,772.0,866.0
304839,,,674.0,889.0
304899,,,566.0,878.0
304959,,,158.0,666.0
305019,,,122.0,565.0
305109,,,164.0,577.0
305169,,,238.0,597.0
305229,,,260.0,667.0
305290,,,255.0,694.0
305392,,,244.0,709.0
305439,,,224.0,716.0
305944,,,836.0,902.0
305954,,,832.0,900.0
306040,,,829.0,898.0
306099,,,635.0,689.0
306189,,,596.0,894.0
306250,,,269.0,894.0
306339,,,139.0,586.0
306399,,,239.0,676.0
306459,,,218.0,608.0
306519,,,272.0,669.0
306580,,,224.0,612.0
306639,,,160.0,680.0
306700,,,222.0,734.0
306759,,,238.0,759.0
306819,,,193.0,416.0
306879,,,753.0,838.0
306939,,,805.0,880.0
307000,,,818.0,889.0
307059,,,826.0,893.0
307120,,,830.0,895.0
307179,,,833.0,898.0
307240,,,832.0,900.0
307299,,,832.0,899.0
307359,,,830.0,899.0
307419,,,811.0,891.0
307479,,,683.0,851.0
307540,,,420.0,634.0
307599,,,150.0,629.0
307660,,,112.0,578.0
307719,,,209.0,557.0
307780,,,257.0,629.0
307839,,,273.0,623.0
307899,,,248.0,650.0
307959,,,228.0,620.0
308019,,,215.0,647.0
308080,,,235.0,377.0
308139,,,778.0,858.0
308200,,,811.0,885.0
308259,,,817.0,888.0
308349,,,825.0,895.0
308410,,,828.0,898.0
308500,,,826.0,897.0
308559,,,815.0,890.0
308620,,,798.0,875.0
308679,,,715.0,819.0
308740,,,661.0,867.0
309244,,,223.0,659.0
309254,,,237.0,666.0
309280,,,193.0,681.0
309370,,,374.0,589.0
309429,,,789.0,865.0
309490,,,812.0,885.0
309549,,,825.0,891.0
309610,,,829.0,894.0
309712,,,830.0,900.0
309729,,,834.0,900.0
309820,,,830.0,897.0
309879,,,829.0,895.0
309939,,,801.0,871.0
310000,,,703.0,812.0
310059,,,655.0,831.0
310163,,,142.0,698.0
310209,,,200.0,661.0
310299,,,190.0,652.0
310360,,,278.0,636.0
310419,,,296.0,632.0
310479,,,244.0,662.0
310540,,,180.0,663.0
310599,,,183.0,710.0
310660,,,511.0,536.0
310750,,,796.0,869.0
310809,,,816.0,886.0
310870,,,824.0,889.0
310929,,,823.0,887.0
310990,,,824.0,892.0
311049,,,825.0,891.0
311110,,,826.0,891.0
311169,,,826.0,895.0
311229,,,799.0,873.0
311290,,,625.0,890.0
311349,,,405.0,904.0
311410,,,99.0,732.0
311469,,,145.0,594.0
311530,,,172.0,499.0
311589,,,217.0,529.0
311650,,,218.0,535.0
311709,,,196.0,610.0
311799,,,181.0,537.0
311860,,,216.0,593.0
311919,,,685.0,782.0
311979,,,799.0,870.0
312040,,,824.0,891.0
312754,,,290.0,663.0
312764,,,277.0,687.0
312790,,,218.0,632.0
312849,,,225.0,603.0
312909,,,224.0,654.0
312969,,,177.0,691.0
313030,,,210.0,679.0
313089,,,328.0,423.0
313150,,,772.0,849.0
313209,,,815.0,882.0
313269,,,828.0,895.0
313330,,,832.0,897.0
313419,,,826.0,898.0
313480,,,788.0,868.0
313540,,,759.0,832.0
313599,,,691.0,764.0
313660,,,526.0,676.0
313719,,,288.0,514.0
313780,,,241.0,838.0
313839,,,46.0,285.0
313900,,,206.0,329.0
313959,,,187.0,619.0
314020,,,260.0,511.0
314110,,,192.0,633.0
314169,,,154.0,341.0
314259,,,205.0,575.0
314320,,,247.0,511.0
314379,,,581.0,640.0
314469,,,811.0,882.0
314530,,,823.0,895.0
314589,,,831.0,897.0
314650,,,827.0,899.0
314740,,,821.0,898.0
314799,,,810.0,893.0
314860,,,761.0,884.0
314919,,,607.0,798.0
314980,,,568.0,785.0
315040,,,386.0,804.0
315099,,,119.0,541.0
315160,,,110.0,234.0
315219,,,235.0,373.0
315280,,,230.0,547.0
315339,,,248.0,614.0
315400,,,273.0,652.0
315459,,,228.0,650.0
315520,,,229.0,666.0
316024,,,830.0,899.0
316034,,,826.0,896.0
316060,,,826.0,898.0
316120,,,822.0,894.0
316179,,,819.0,895.0
316240,,,781.0,882.0
316299,,,577.0,824.0
316360,,,376.0,842.0
316419,,,161.0,546.0
316480,,,104.0,364.0
316540,,,198.0,552.0
316600,,,258.0,618.0
316660,,,285.0,659.0
316719,,,314.0,674.0
316780,,,196.0,641.0
316839,,,185.0,666.0
316900,,,266.0,685.0
316959,,,711.0,799.0
317020,,,808.0,883.0
317080,,,824.0,895.0
317140,,,827.0,898.0
317200,,,809.0,898.0
317259,,,762.0,872.0
317319,,,724.0,839.0
317379,,,755.0,871.0
317440,,,713.0,830.0
317530,,,565.0,764.0
317589,,,287.0,715.0
317650,,,179.0,748.0
317709,,,106.0,75.0
317770,,,164.0,361.0
317830,,,216.0,447.0
317890,,,247.0,605.0
317950,,,320.0,610.0
318009,,,253.0,664.0
318070,,,255.0,686.0
318129,,,222.0,594.0
318219,,,672.0,776.0
318310,,,808.0,882.0
318370,,,820.0,891.0
318459,,,824.0,895.0
318520,,,806.0,877.0
318580,,,792.0,835.0
318640,,,801.0,887.0
318700,,,722.0,822.0
318759,,,554.0,703.0
319264,,,248.0,640.0
319274,,,233.0,634.0
319299,,,254.0,635.0
319360,,,275.0,697.0
319419,,,244.0,610.0
319480,,,420.0,602.0
319540,,,746.0,813.0
319600,,,806.0,878.0
319660,,,821.0,889.0
319720,,,826.0,892.0
319780,,,825.0,893.0
319839,,,827.0,895.0
319900,,,796.0,867.0
319959,,,762.0,828.0
320020,,,758.0,843.0
320080,,,575.0,689.0
320140,,,600.0,884.0
320200,,,351.0,846.0
320260,,,43.0,506.0
320320,,,132.0,370.0
320379,,,250.0,612.0
320439,,,223.0,565.0
320500,,,260.0,627.0
320560,,,273.0,668.0
320620,,,267.0,652.0
320680,,,205.0,713.0
320740,,,372.0,443.0
320799,,,759.0,834.0
320860,,,810.0,879.0
320919,,,826.0,894.0
320980,,,830.0,897.0
321083,,,828.0,895.0
321100,,,825.0,895.0
321160,,,821.0,892.0
321220,,,809.0,888.0
321280,,,542.0,701.0
321370,,,558.0,788.0
321430,,,107.0,553.0
321490,,,151.0,617.0
321550,,,198.0,494.0
321610,,,177.0,525.0
321669,,,250.0,629.0
321730,,,271.0,641.0
321790,,,198.0,638.0
321850,,,91.0,607.0
321910,,,189.0,656.0
322655,,,182.0,740.0
322665,,,110.0,624.0
322690,,,77.0,664.0
322750,,,200.0,538.0
322810,,,147.0,524.0
322900,,,306.0,699.0
322959,,,243.0,634.0
323020,,,202.0,635.0
323080,,,128.0,658.0
323140,,,206.0,689.0
323200,,,535.0,631.0
323260,,,783.0,853.0
323320,,,821.0,892.0
323380,,,827.0,895.0
323440,,,830.0,898.0
323500,,,824.0,897.0
323559,,,823.0,900.0
323620,,,822.0,895.0
323680,,,810.0,893.0
323740,,,619.0,750.0
323800,,,512.0,731.0
323860,,,591.0,855.0
323919,,,154.0,736.0
323980,,,83.0,643.0
324040,,,230.0,572.0
324130,,,224.0,624.0
324190,,,235.0,631.0
324250,,,265.0,658.0
324310,,,171.0,685.0
324370,,,119.0,653.0
324430,,,237.0,669.0
